Entity1,Entity2
http://cmt#Chairman,http://conference#Chair
http://cmt#Conference,http://conference#Conference
http://cmt#ConferenceMember,http://conference#Person
http://cmt#ExternalReviewer,http://conference#Reviewer
http://cmt#Paper,http://conference#Paper
http://cmt#PaperAbstract,http://conference#Abstract
http://cmt#Person,http://conference#Person
http://cmt#ProgramCommittee,http://conference#Program_committee
http://cmt#ProgramCommitteeMember,http://conference#Committee_member
http://cmt#Review,http://conference#Review
http://cmt#Reviewer,http://conference#Reviewer
http://cmt#hasProgramCommitteeMember,http://conference#was_a_member_of
