Entity2,Entity1
http://conference#Abstract,http://cmt#PaperAbstract
http://conference#Chair,http://cmt#Chairman
http://conference#Conference,http://cmt#Conference
http://conference#Conference_applicant,http://cmt#Person
http://conference#Conference_contributor,http://cmt#Person
http://conference#Conference_document,http://cmt#Paper
http://conference#Conference_participant,http://cmt#Person
http://conference#Contribution_co-author,http://cmt#AuthorNotReviewer
http://conference#Paper,http://cmt#Paper
http://conference#Person,http://cmt#Person
http://conference#Poster,http://cmt#AuthorNotReviewer
http://conference#Program_committee,http://cmt#ProgramCommittee
http://conference#Rejected_contribution,http://cmt#Rejection
http://conference#Review,http://cmt#Review
http://conference#Reviewer,http://cmt#Reviewer
http://conference#Topic,http://cmt#SubjectArea
