Entity1,Entity2
http://cmt#Author,http://conference#Regular_author
http://cmt#Chairman,http://conference#Chair
http://cmt#Co-author,http://conference#Contribution_co-author
http://cmt#Conference,http://conference#Conference_volume
http://cmt#Conference,http://conference#Conference
http://cmt#Document,http://conference#Conference_document
http://cmt#PaperAbstract,http://conference#Abstract
http://cmt#Person,http://conference#Person
http://cmt#Preference,http://conference#Review_preference
http://cmt#ProgramCommittee,http://conference#Program_committee
http://cmt#Review,http://conference#Review
http://cmt#SubjectArea,http://conference#Topic
http://cmt#assignExternalReviewer,http://conference#invites_co-reviewers
http://cmt#assignedByReviewer,http://conference#invited_by
http://cmt#email,http://conference#has_an_email
