Entity2,Entity1
http://confOf#Administrator,http://cmt#Administrator
http://confOf#Author,http://cmt#Author
http://confOf#Chair_PC,http://cmt#Chairman
http://confOf#Conference,http://cmt#Conference
http://confOf#Member_PC,http://cmt#ProgramCommitteeMember
http://confOf#Paper,http://cmt#Paper
http://confOf#Participant,http://cmt#Person
http://confOf#Person,http://cmt#Person
http://confOf#contactEmail,http://cmt#email
http://confOf#parallel_with,http://cmt#virtualMeetingEnabledBy
http://confOf#writtenBy,http://cmt#writtenBy
