Entity1,Entity2
http://cmt#Administrator,http://confOf#Administrator
http://cmt#Author,http://confOf#Author
http://cmt#Conference,http://confOf#Conference
http://cmt#ConferenceMember,http://confOf#Member
http://cmt#Paper,http://confOf#Contribution
http://cmt#PaperFullVersion,http://confOf#Paper
http://cmt#Person,http://confOf#Person
http://cmt#ProgramCommitteeChair,http://confOf#Chair_PC
http://cmt#ProgramCommitteeMember,http://confOf#Member_PC
http://cmt#SubjectArea,http://confOf#Topic
http://cmt#email,http://confOf#hasEmail
http://cmt#hasAuthor,http://confOf#writtenBy
http://cmt#hasBeenAssigned,http://confOf#reviewes
http://cmt#hasSubjectArea,http://confOf#dealsWith
http://cmt#title,http://confOf#hasTitle
http://cmt#writePaper,http://confOf#writes
