Entity1,Entity2
http://cmt#Acceptance,http://edas#AcceptedPaper
http://cmt#Author,http://edas#Author
http://cmt#Conference,http://edas#Conference
http://cmt#ConferenceChair,http://edas#ConferenceChair
http://cmt#Document,http://edas#Document
http://cmt#ExternalReviewer,http://edas#Reviewer
http://cmt#Paper,http://edas#Paper
http://cmt#Person,http://edas#Person
http://cmt#ProgramCommitteeMember,http://edas#TPCMember
http://cmt#Rejection,http://edas#RejectedPaper
http://cmt#Rejection,http://edas#WeekRejectRating
http://cmt#Review,http://edas#Review
http://cmt#Reviewer,http://edas#Reviewer
http://cmt#hasCo-author,http://edas#isWrittenBy
http://cmt#hasConferenceMember,http://edas#isMemberOf
http://cmt#hasProgramCommitteeMember,http://edas#isMemberOf
