Entity1,Entity2
http://cmt#Author,http://edas#Author
http://cmt#Conference,http://edas#Conference
http://cmt#ConferenceChair,http://edas#ConferenceChair
http://cmt#Document,http://edas#Document
http://cmt#Paper,http://edas#Paper
http://cmt#Person,http://edas#Person
http://cmt#Review,http://edas#Review
http://cmt#Reviewer,http://edas#Reviewer
http://cmt#assignedTo,http://edas#isReviewedBy
http://cmt#hasAuthor,http://edas#isWrittenBy
http://cmt#hasBeenAssigned,http://edas#isReviewing
http://cmt#hasConferenceMember,http://edas#hasMember
http://cmt#memberOfConference,http://edas#isMemberOf
