Entity2,Entity1
http://ekaw#Abstract,http://cmt#PaperAbstract
http://ekaw#Accepted_Paper,http://cmt#Paper
http://ekaw#Conference,http://cmt#Conference
http://ekaw#Conference_Paper,http://cmt#Paper
http://ekaw#Conference_Participant,http://cmt#Person
http://ekaw#Conference_Proceedings,http://cmt#Paper
http://ekaw#Document,http://cmt#Document
http://ekaw#OC_Member,http://cmt#Person
http://ekaw#PC_Chair,http://cmt#ProgramCommitteeChair
http://ekaw#PC_Member,http://cmt#ProgramCommitteeMember
http://ekaw#Paper,http://cmt#Paper
http://ekaw#Paper_Author,http://cmt#Author
http://ekaw#Person,http://cmt#Person
http://ekaw#Possible_Reviewer,http://cmt#ExternalReviewer
http://ekaw#Presenter,http://cmt#Person
http://ekaw#Rejected_Paper,http://cmt#Rejection
http://ekaw#Review,http://cmt#Review
http://ekaw#Session_Chair,http://cmt#Chairman
http://ekaw#authorOf,http://cmt#writtenBy
http://ekaw#coversTopic,http://cmt#hasSubjectArea
http://ekaw#writtenBy,http://cmt#writtenBy
