Entity1,Entity2
http://cmt#Author,http://ekaw#Paper_Author
http://cmt#Conference,http://ekaw#Conference
http://cmt#ConferenceMember,http://ekaw#Conference_Participant
http://cmt#Document,http://ekaw#Document
http://cmt#Paper,http://ekaw#Paper
http://cmt#PaperFullVersion,http://ekaw#Regular_Paper
http://cmt#Person,http://ekaw#Person
http://cmt#Review,http://ekaw#Review
http://cmt#assignedTo,http://ekaw#hasReviewer
http://cmt#hasBeenAssigned,http://ekaw#reviewerOfPaper
http://cmt#writtenBy,http://ekaw#reviewWrittenBy
