Entity2,Entity1
http://iasted#Author,http://cmt#Author
http://iasted#Delegate,http://cmt#ConferenceMember
http://iasted#Document,http://cmt#Document
http://iasted#Final_manuscript,http://cmt#PaperFullVersion
http://iasted#Non_speaker,http://cmt#AuthorNotReviewer
http://iasted#Person,http://cmt#Person
http://iasted#Publication,http://cmt#Paper
http://iasted#Review,http://cmt#Review
http://iasted#Reviewer,http://cmt#Reviewer
http://iasted#Session_chair,http://cmt#Chairman
http://iasted#Speaker,http://cmt#AuthorNotReviewer
http://iasted#is_writen_by,http://cmt#hasAuthor
