Entity1,Entity2
http://cmt#Author,http://sigkdd#Author
http://cmt#Conference,http://sigkdd#Conference
http://cmt#ConferenceChair,http://sigkdd#General_Chair
http://cmt#Document,http://sigkdd#Document
http://cmt#Paper,http://sigkdd#Paper
http://cmt#PaperAbstract,http://sigkdd#Abstract
http://cmt#Person,http://sigkdd#Person
http://cmt#ProgramCommittee,http://sigkdd#Program_Committee
http://cmt#ProgramCommitteeChair,http://sigkdd#Program_Chair
http://cmt#ProgramCommitteeMember,http://sigkdd#Program_Committee_member
http://cmt#Review,http://sigkdd#Review
http://cmt#date,http://sigkdd#Date
http://cmt#email,http://sigkdd#E-mail
http://cmt#name,http://sigkdd#Name
