Entity2,Entity1
http://sigkdd#Abstract,http://cmt#PaperAbstract
http://sigkdd#Author,http://cmt#Author
http://sigkdd#Author_of_paper,http://cmt#Author
http://sigkdd#Conference,http://cmt#Conference
http://sigkdd#Document,http://cmt#Document
http://sigkdd#General_Chair,http://cmt#ConferenceChair
http://sigkdd#Paper,http://cmt#Paper
http://sigkdd#Person,http://cmt#Person
http://sigkdd#Program_Chair,http://cmt#ProgramCommitteeChair
http://sigkdd#Program_Committee,http://cmt#ProgramCommittee
http://sigkdd#Program_Committee_member,http://cmt#ProgramCommitteeMember
http://sigkdd#Review,http://cmt#Review
http://sigkdd#Speaker,http://cmt#Person
http://sigkdd#Date,http://cmt#date
http://sigkdd#E-mail,http://cmt#email
http://sigkdd#Name,http://cmt#name
http://sigkdd#Start_of_conference,http://cmt#date
