Entity1,Entity2
http://conference#Conference_contribution,http://confOf#Contribution
http://conference#Conference_participant,http://confOf#Participant
http://conference#Conference_volume,http://confOf#Conference
http://conference#Organization,http://confOf#Organization
http://conference#Paper,http://confOf#Paper
http://conference#Person,http://confOf#Person
http://conference#Poster,http://confOf#Poster
http://conference#Regular_author,http://confOf#Author
http://conference#Topic,http://confOf#Topic
http://conference#Tutorial,http://confOf#Tutorial
http://conference#Workshop,http://confOf#Workshop
http://conference#has_a_track-workshop-tutorial_topic,http://confOf#hasTopic
http://conference#has_an_email,http://confOf#hasEmail
http://conference#has_the_first_name,http://confOf#hasFirstName
http://conference#has_the_last_name,http://confOf#hasSurname
