Entity1,Entity2
http://conference#Conference,http://edas#Conference
http://conference#Conference_participant,http://edas#Attendee
http://conference#Organization,http://edas#Organization
http://conference#Paper,http://edas#Paper
http://conference#Person,http://edas#Person
http://conference#Review,http://edas#Review
http://conference#Reviewer,http://edas#Reviewer
http://conference#Topic,http://edas#Topic
http://conference#Workshop,http://edas#Workshop
http://conference#has_a_location,http://edas#hasLocation
http://conference#is_a_starting_date,http://edas#startDate
http://conference#is_an_ending_date,http://edas#endDate
