Entity2,Entity1
http://edas#AcademicEvent,http://conference#Conference
http://edas#AcceptedPaper,http://conference#Paper
http://edas#Attendee,http://conference#Conference_participant
http://edas#CallForManuscripts,http://conference#Call_for_paper
http://edas#Conference,http://conference#Conference
http://edas#Organization,http://conference#Organization
http://edas#Paper,http://conference#Paper
http://edas#PaperPresentation,http://conference#Presentation
http://edas#Person,http://conference#Person
http://edas#PublishedPaper,http://conference#Paper
http://edas#Review,http://conference#Review
http://edas#Reviewer,http://conference#Reviewer
http://edas#TalkEvent,http://conference#Presentation
http://edas#Topic,http://conference#Topic
http://edas#Workshop,http://conference#Workshop
http://edas#endDate,http://conference#is_an_ending_date
http://edas#hasLocation,http://conference#has_a_location
http://edas#paperDueOn,http://conference#is_a_full_paper_submission_date
http://edas#startDate,http://conference#is_a_starting_date
