Entity1,Entity2
http://conference#Accepted_contribution,http://edas#AcceptedPaper
http://conference#Conference_document,http://edas#Document
http://conference#Conference_part,http://edas#ConferenceEvent
http://conference#Conference_participant,http://edas#Attendee
http://conference#Conference_volume,http://edas#Conference
http://conference#Organization,http://edas#Organization
http://conference#Paper,http://edas#Paper
http://conference#Person,http://edas#Person
http://conference#Regular_author,http://edas#Author
http://conference#Rejected_contribution,http://edas#RejectedPaper
http://conference#Review,http://edas#Review
http://conference#Reviewer,http://edas#Reviewer
http://conference#Topic,http://edas#Topic
http://conference#Workshop,http://edas#Workshop
http://conference#has_a_review_expertise,http://edas#hasRating
http://conference#has_the_first_name,http://edas#hasFirstName
http://conference#has_the_last_name,http://edas#hasLastName
