Entity1,Entity2
http://conference#Abstract,http://ekaw#Abstract
http://conference#Accepted_contribution,http://ekaw#Accepted_Paper
http://conference#Conference_document,http://ekaw#Document
http://conference#Conference_proceedings,http://ekaw#Conference_Proceedings
http://conference#Conference_volume,http://ekaw#Conference
http://conference#Conference_www,http://ekaw#Web_Site
http://conference#Early_paid_applicant,http://ekaw#Early-Registered_Participant
http://conference#Information_for_participants,http://ekaw#Programme_Brochure
http://conference#Invited_speaker,http://ekaw#Invited_Speaker
http://conference#Late_paid_applicant,http://ekaw#Late-Registered_Participant
http://conference#Organization,http://ekaw#Organisation
http://conference#Person,http://ekaw#Person
http://conference#Poster,http://ekaw#Poster_Paper
http://conference#Regular_author,http://ekaw#Paper_Author
http://conference#Rejected_contribution,http://ekaw#Rejected_Paper
http://conference#Review,http://ekaw#Review
http://conference#Reviewed_contribution,http://ekaw#Evaluated_Paper
http://conference#Submitted_contribution,http://ekaw#Submitted_Paper
http://conference#Topic,http://ekaw#Research_Topic
http://conference#Track,http://ekaw#Track
http://conference#Track-workshop_chair,http://ekaw#Workshop_Chair
http://conference#Tutorial,http://ekaw#Tutorial
http://conference#Workshop,http://ekaw#Workshop
http://conference#contributes,http://ekaw#authorOf
http://conference#has_a_review,http://ekaw#hasReview
