Entity1,Entity2
http://conference#Camera_ready_contribution,http://iasted#Camera_ready_manuscript_deadline
http://conference#Conference_applicant,http://iasted#Person
http://conference#Conference_fees,http://iasted#Fee
http://conference#Conference_part,http://iasted#Conference_activity
http://conference#Conference_participant,http://iasted#Person
http://conference#Conference_proceedings,http://iasted#Publication
http://conference#Conference_volume,http://iasted#Book_proceeding
http://conference#Important_dates,http://iasted#Deadline
http://conference#Invited_talk,http://iasted#Speaker
http://conference#Passive_conference_participant,http://iasted#Listener
http://conference#Passive_conference_participant,http://iasted#Non_speaker
http://conference#Person,http://iasted#Person
http://conference#Presentation,http://iasted#Presentation
http://conference#Rejected_contribution,http://iasted#Non_speaker
http://conference#Review,http://iasted#Review
http://conference#Reviewer,http://iasted#Reviewer
http://conference#Submitted_contribution,http://iasted#Submission
http://conference#Tutorial,http://iasted#Tutorial
http://conference#has_a_location,http://iasted#is_situated_in
http://conference#has_authors,http://iasted#is_writen_by
http://conference#is_given_by,http://iasted#is_given_by
