Entity1,Entity2
http://conference#Active_conference_participant,http://iasted#Speaker
http://conference#Camera_ready_contribution,http://iasted#Final_manuscript
http://conference#Conference_document,http://iasted#Document
http://conference#Conference_fees,http://iasted#Fee
http://conference#Conference_part,http://iasted#Conference_activity
http://conference#Conference_proceedings,http://iasted#Publication
http://conference#Passive_conference_participant,http://iasted#Listener
http://conference#Person,http://iasted#Person
http://conference#Regular_author,http://iasted#Author
http://conference#Review,http://iasted#Review
http://conference#Reviewer,http://iasted#Reviewer
http://conference#Submitted_contribution,http://iasted#Submission
http://conference#Tutorial,http://iasted#Tutorial
http://conference#contributes,http://iasted#write
