entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://conference#Abstract,Source,Class,abstract,"In the context of a conference, an ""abstract"" is a brief summary of a research paper, presentation, or study that is typically submitted for consideration before the event. It provides an overview of the main objectives, methods, results, and conclusions of the work. The abstract helps conference organizers and attendees quickly understand the essence of the research and decide its relevance and interest to the conference themes.","Sure, here are the triples verbalized into phrases:

1. The property ""has_an_abstract"" has a range of ""Abstract"".
2. The property ""is_the_1th_part_of"" has a domain of ""Abstract"".
3. The class ""Abstract"" is a subclass of ""Extended_abstract""."
http://conference#Accepted_contribution,Source,Class,accepted contribution,"In the context of a conference, ""Accepted_contribution"" refers to a research paper, presentation, poster, or any other form of scholarly work that has been submitted by an individual or group and has successfully passed the review process. This means that the contribution has been evaluated by the conference's review committee or panel and has been deemed of sufficient quality and relevance to be included in the conference program.","Sure, here are the triples verbalised into phrases:

1. ""Camera_ready_contribution"" is a subclass of ""Accepted_contribution"".
2. ""Rejected_contribution"" is disjoint with ""Accepted_contribution"".
3. ""Accepted_contribution"" is a subclass of ""Reviewed_contribution"".
4. ""Accepted_contribution"" is disjoint with ""Rejected_contribution""."
http://conference#Active_conference_participant,Source,Class,active conference participant,"In the context of a conference, an ""Active_conference_participant"" refers to an individual who is actively engaged in the conference activities. This can include attending sessions, participating in discussions, asking questions, networking with other attendees, and possibly contributing to presentations or panels. Active participants are typically more involved and interactive compared to passive attendees who may simply observe without much engagement.","Sure, here are the triples verbalised into phrases:

1. The property ""gives_presentations"" has a domain of ""Active_conference_participant"".
2. The property ""is_given_by"" has a range of ""Active_conference_participant"".
3. ""Passive_conference_participant"" is disjoint with ""Active_conference_participant"".
4. ""Active_conference_participant"" is a subclass of both ""Conference_contributor"" and ""Conference_participant"".
5. ""Active_conference_participant"" is disjoint with ""Passive_conference_participant""."
http://conference#Call_for_paper,Source,Class,call for paper,"In the context of a conference, a ""Call for Papers"" (CFP) is an invitation issued by the conference organizers for researchers, scholars, and professionals to submit their research papers, abstracts, or proposals for presentation at the conference. The CFP typically includes details about the conference themes, submission guidelines, important dates, and the review process. It serves as a formal request for contributions that align with the conference's topics and objectives.","The class ""Call for paper"" is a subclass of the class ""Conference document""."
http://conference#Call_for_participation,Source,Class,call for participation,"In the context of a conference, a ""Call for Participation"" (CFP) is an invitation extended by the conference organizers to researchers, professionals, and practitioners to submit their work for presentation at the event. This can include papers, posters, workshops, tutorials, panel discussions, and other forms of contributions. The CFP typically outlines the themes and topics of interest, submission guidelines, important dates, and evaluation criteria. It serves as a formal request for contributions that will shape the content and discussions at the conference.","The class ""Call for participation"" is a subclass of ""Conference document""."
http://conference#Camera_ready_contribution,Source,Class,camera ready contribution,"In the context of a conference, a ""camera-ready contribution"" refers to the final version of a paper or presentation that is ready to be published in the conference proceedings. This version has typically undergone peer review and any necessary revisions. It must adhere to the formatting and submission guidelines specified by the conference organizers, ensuring that it is in a polished, professional state suitable for distribution to attendees and inclusion in official records.","The class ""Camera_ready_contribution"" is a subclass of the class ""Accepted_contribution""."
http://conference#Chair,Source,Class,chair,"In the context of a conference, the term ""Chair"" refers to the person who presides over the conference or a specific session within the conference. This individual is responsible for guiding the discussions, ensuring that the agenda is followed, managing the time allocated for each speaker, and facilitating questions and interactions among participants. The Chair plays a crucial role in maintaining the flow and order of the conference proceedings.","Sure, here are the triples verbalised into phrases:

1. The property ""has_a_committee_chair"" has a range of ""Chair"".
2. The property ""was_a_committee_chair_of"" has a domain of ""Chair"".
3. The class ""Chair"" is a subclass of ""Committee_member""."
http://conference#Co-chair,Source,Class,co chair,"In the context of a conference, a ""Co-chair"" refers to an individual who shares the responsibilities of leading and organizing the event with one or more other individuals. Co-chairs work collaboratively to oversee various aspects of the conference, such as planning the agenda, coordinating speakers, managing logistics, and ensuring the event runs smoothly. Their joint efforts help distribute the workload and bring diverse perspectives to the conference's management.","Sure, here are the triples verbalised into phrases:

1. The property ""has_a_committee_co-chair"" has a range of ""Co-chair"".
2. The property ""was_a_committee_co-chair_of"" has a domain of ""Co-chair"".
3. The class ""Co-chair"" is a subclass of ""Committee_member""."
http://conference#Committee,Source,Class,committee,"In the context of a conference, a ""committee"" refers to a group of individuals who are appointed or elected to perform specific tasks related to the planning, organization, and execution of the conference. This can include responsibilities such as selecting speakers, organizing sessions, managing logistics, handling registrations, and ensuring the overall smooth running of the event. The committee works collaboratively to ensure that the conference meets its objectives and provides value to its attendees.","Sure, here are the triples verbalized into phrases:

1. ""Organizing_committee"" is a subclass of ""Committee"".
2. ""Program_committee"" is a subclass of ""Committee"".
3. ""Steering_committee"" is a subclass of ""Committee"".
4. ""has_a_committee_chair"" has a domain of ""Committee"".
5. ""has_a_committee_co-chair"" has a domain of ""Committee"".
6. ""has_a_commtitee"" has a range of ""Committee"".
7. ""has_members"" has a domain of ""Committee"".
8. ""was_a_committe_co-chair_of"" has a range of ""Committee"".
9. ""was_a_committee_chair_of"" has a range of ""Committee"".
10. ""was_a_committee_of"" has a domain of ""Committee"".
11. ""was_a_member_of"" has a range of ""Committee""."
http://conference#Committee_member,Source,Class,committee member,"In the context of a conference, a ""committee member"" refers to an individual who is part of a group responsible for organizing, planning, and overseeing various aspects of the conference. This can include tasks such as selecting speakers, arranging schedules, managing logistics, and ensuring the event runs smoothly. Committee members work collaboratively to ensure the success of the conference.","Sure, here are the triples verbalized into phrases:

1. A Chair is a subclass of a Committee member.
2. A Co-chair is a subclass of a Committee member.
3. The property ""has members"" has a range of Committee member.
4. The property ""was a member of"" has a domain of Committee member.
5. A Committee member is a subclass of a Person."
http://conference#Conference,Source,Class,conference,"In the context of ""conference,"" the term generally refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative activities. Conferences can be held in various fields such as business, education, science, technology, and more, and they often include presentations, workshops, and networking opportunities.","The class ""Conference_volume"" is a subclass of the class ""Conference""."
http://conference#Conference_announcement,Source,Class,conference announcement,"In the context of a conference, a ""conference announcement"" refers to a formal notification or communication that provides details about an upcoming conference. This announcement typically includes essential information such as the conference's theme, dates, location, key speakers, agenda, registration details, and any other relevant information that potential attendees need to know. The purpose of the announcement is to inform and attract participants, sponsors, and other stakeholders to the event.","The class ""Conference_announcement"" is a subclass of the class ""Conference_document""."
http://conference#Conference_applicant,Source,Class,conference applicant,"In the context of a conference, a ""conference applicant"" refers to an individual who has submitted an application to attend, present, or participate in the conference. This could include applying to be a speaker, presenter, panelist, or simply an attendee who needs to register and possibly meet certain criteria set by the conference organizers.","Sure, here are the triples verbalized into phrases:

1. A ""Registered applicant"" is a subclass of a ""Conference applicant"".
2. A ""Conference applicant"" is a subclass of a ""Person""."
http://conference#Conference_contribution,Source,Class,conference contribution,"In the context of a conference, a ""conference contribution"" refers to any form of scholarly work or presentation that is submitted and presented at the conference. This can include papers, posters, presentations, workshops, or panel discussions. These contributions are typically peer-reviewed and are intended to share research findings, innovative ideas, or professional practices with other attendees of the conference.","Sure, here are the triples verbalised into phrases:

1. A ""Poster"" is a subclass of ""Conference contribution"".
2. A ""Presentation"" is a subclass of ""Conference contribution"".
3. A ""Written contribution"" is a subclass of ""Conference contribution"".
4. The property ""has contributions"" has a range of ""Conference contribution"".
5. The property ""is submitted at"" has a domain of ""Conference contribution"".
6. A ""Conference contribution"" is a subclass of ""Conference document""."
