Entity1,Entity2
http://conference#Abstract,http://sigkdd#Abstract
http://conference#Committee,http://sigkdd#Committee
http://conference#Committee_member,http://sigkdd#Program_Committee_member
http://conference#Conference,http://sigkdd#Conference
http://conference#Conference_contributor,http://sigkdd#Person
http://conference#Conference_fees,http://sigkdd#Fee
http://conference#Conference_participant,http://sigkdd#Person
http://conference#Conference_proceedings,http://sigkdd#Paper
http://conference#Important_dates,http://sigkdd#Deadline_Paper_Submission
http://conference#Invited_speaker,http://sigkdd#Invited_Speaker
http://conference#Invited_talk,http://sigkdd#Invited_Speaker
http://conference#Organizing_committee,http://sigkdd#Organizing_Committee
http://conference#Paper,http://sigkdd#Paper
http://conference#Passive_conference_participant,http://sigkdd#Listener
http://conference#Person,http://sigkdd#Person
http://conference#Program_committee,http://sigkdd#Program_Committee
http://conference#Review,http://sigkdd#Review
http://conference#has_a_location,http://sigkdd#City_of_conference
http://conference#has_an_email,http://sigkdd#E-mail
http://conference#is_an_ending_date,http://sigkdd#End_of_conference
