Entity2,Entity1
http://sigkdd#Abstract,http://conference#Abstract
http://sigkdd#Committee,http://conference#Committee
http://sigkdd#Conference,http://conference#Conference
http://sigkdd#Deadline_Paper_Submission,http://conference#Important_dates
http://sigkdd#Fee,http://conference#Conference_fees
http://sigkdd#Invited_Speaker,http://conference#Invited_speaker
http://sigkdd#Listener,http://conference#Passive_conference_participant
http://sigkdd#Organizing_Committee,http://conference#Organizing_committee
http://sigkdd#Paper,http://conference#Paper
http://sigkdd#Person,http://conference#Person
http://sigkdd#Program_Committee,http://conference#Program_committee
http://sigkdd#Program_Committee_member,http://conference#Committee_member
http://sigkdd#Review,http://conference#Review
http://sigkdd#Speaker,http://conference#Person
http://sigkdd#End_of_conference,http://conference#is_an_ending_date
http://sigkdd#Name_of_conference,http://conference#has_a_name
