Entity1,Entity2
http://conference#Abstract,http://sigkdd#Abstract
http://conference#Committee,http://sigkdd#Committee
http://conference#Conference_document,http://sigkdd#Document
http://conference#Conference_fees,http://sigkdd#Fee
http://conference#Conference_volume,http://sigkdd#Conference
http://conference#Invited_speaker,http://sigkdd#Invited_Speaker
http://conference#Organizing_committee,http://sigkdd#Organizing_Committee
http://conference#Paper,http://sigkdd#Paper
http://conference#Person,http://sigkdd#Person
http://conference#Program_committee,http://sigkdd#Program_Committee
http://conference#Regular_author,http://sigkdd#Author
http://conference#Review,http://sigkdd#Review
http://conference#gives_presentations,http://sigkdd#presentation
http://conference#has_an_email,http://sigkdd#E-mail
http://conference#is_given_by,http://sigkdd#presentationed_by
