Entity1,Entity2
http://confOf#Author,http://edas#Author
http://confOf#Country,http://edas#Country
http://confOf#Event,http://edas#ConferenceEvent
http://confOf#Member_PC,http://edas#TPCMember
http://confOf#Organization,http://edas#Organization
http://confOf#Paper,http://edas#Paper
http://confOf#Participant,http://edas#Attendee
http://confOf#Person,http://edas#Person
http://confOf#Reception,http://edas#Reception
http://confOf#Social_event,http://edas#SocialEvent
http://confOf#Topic,http://edas#Topic
http://confOf#Trip,http://edas#Excursion
http://confOf#Working_event,http://edas#AcademicEvent
http://confOf#Workshop,http://edas#Workshop
http://confOf#hasFirstName,http://edas#hasFirstName
http://confOf#hasSurname,http://edas#hasLastName
http://confOf#reviewes,http://edas#isReviewing
http://confOf#writes,http://edas#hasRelatedPaper
http://confOf#writtenBy,http://edas#isWrittenBy
