Entity1,Entity2
http://confOf#Author,http://ekaw#Paper_Author
http://confOf#Conference,http://ekaw#Conference
http://confOf#Event,http://ekaw#Event
http://confOf#Organization,http://ekaw#Organisation
http://confOf#Paper,http://ekaw#Paper
http://confOf#Participant,http://ekaw#Conference_Participant
http://confOf#Person,http://ekaw#Person
http://confOf#Social_event,http://ekaw#Social_Event
http://confOf#Student,http://ekaw#Student
http://confOf#Topic,http://ekaw#Research_Topic
http://confOf#Tutorial,http://ekaw#Tutorial
http://confOf#University,http://ekaw#University
http://confOf#Workshop,http://ekaw#Workshop
http://confOf#hasTopic,http://ekaw#coversTopic
http://confOf#writtenBy,http://ekaw#writtenBy
