Entity2,Entity1
http://ekaw#Accepted_Paper,http://confOf#Paper
http://ekaw#Conference,http://confOf#Conference
http://ekaw#Conference_Banquet,http://confOf#Banquet
http://ekaw#Conference_Paper,http://confOf#Paper
http://ekaw#Conference_Participant,http://confOf#Participant
http://ekaw#Conference_Trip,http://confOf#Trip
http://ekaw#Event,http://confOf#Event
http://ekaw#OC_Member,http://confOf#Person
http://ekaw#Organisation,http://confOf#Organization
http://ekaw#Paper,http://confOf#Paper
http://ekaw#Paper_Author,http://confOf#Author
http://ekaw#Person,http://confOf#Person
http://ekaw#Possible_Reviewer,http://confOf#Member_PC
http://ekaw#Scientific_Event,http://confOf#Conference
http://ekaw#Social_Event,http://confOf#Social_event
http://ekaw#Student,http://confOf#Student
http://ekaw#Tutorial,http://confOf#Tutorial
http://ekaw#University,http://confOf#University
http://ekaw#Workshop,http://confOf#Workshop
http://ekaw#Workshop_Session,http://confOf#Working_event
http://ekaw#writtenBy,http://confOf#writtenBy
