Entity1,Entity2
http://confOf#Author,http://ekaw#Paper_Author
http://confOf#Banquet,http://ekaw#Conference_Banquet
http://confOf#Chair_PC,http://ekaw#PC_Chair
http://confOf#Conference,http://ekaw#Conference
http://confOf#Contribution,http://ekaw#Paper
http://confOf#Event,http://ekaw#Event
http://confOf#Member_PC,http://ekaw#PC_Member
http://confOf#Organization,http://ekaw#Organisation
http://confOf#Participant,http://ekaw#Conference_Participant
http://confOf#Person,http://ekaw#Person
http://confOf#Poster,http://ekaw#Poster_Paper
http://confOf#Scholar,http://ekaw#Student
http://confOf#Social_event,http://ekaw#Social_Event
http://confOf#Student,http://ekaw#Student
http://confOf#Topic,http://ekaw#Research_Topic
http://confOf#Trip,http://ekaw#Conference_Trip
http://confOf#Tutorial,http://ekaw#Tutorial
http://confOf#University,http://ekaw#University
http://confOf#Working_event,http://ekaw#Scientific_Event
http://confOf#Workshop,http://ekaw#Workshop
