Entity2,Entity1
http://iasted#Author,http://confOf#Author
http://iasted#City,http://confOf#City
http://iasted#Coctail_reception,http://confOf#Social_event
http://iasted#Conference_activity,http://confOf#Working_event
http://iasted#Conference_days,http://confOf#Working_event
http://iasted#Dinner_banquet,http://confOf#Social_event
http://iasted#Lecturer,http://confOf#Person
http://iasted#Person,http://confOf#Person
http://iasted#Publication,http://confOf#Paper
http://iasted#Speaker,http://confOf#Person
http://iasted#Tutorial,http://confOf#Tutorial
