entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://confOf#Administrative_event,Source,Class,administrative event,"In the context of a conference, an ""administrative event"" refers to activities or sessions that are related to the organization, management, and logistical aspects of the conference. These can include registration, check-in procedures, opening and closing ceremonies, scheduling announcements, and any other events that help ensure the smooth operation and coordination of the conference. Administrative events are essential for maintaining order and providing attendees with necessary information and support throughout the conference.","1. ""Camera_Ready_event"" is a subclass of ""Administrative_event"".
2. ""Registration_of_participants_event"" is a subclass of ""Administrative_event"".
3. ""Reviewing_event"" is a subclass of ""Administrative_event"".
4. ""Reviewing_results_event"" is a subclass of ""Administrative_event"".
5. ""Submission_event"" is a subclass of ""Administrative_event"".
6. The property ""follows"" has a domain of ""Administrative_event"" and a range of ""Administrative_event"".
7. The property ""hasAdministrativeEvent"" has a range of ""Administrative_event"".
8. The property ""parallel_with"" has a domain of ""Administrative_event"" and a range of ""Administrative_event"".
9. ""Social_event"" is disjoint with ""Administrative_event"".
10. ""Working_event"" is disjoint with ""Administrative_event"".
11. ""Administrative_event"" is a subclass of ""Event"" and is disjoint with both ""Social_event"" and ""Working_event""."
http://confOf#Administrator,Source,Class,administrator,"In the context of a conference and using the extra information provided about ConfTool, an ""Administrator"" refers to a person who has the highest level of access and control within the ConfTool system. This individual is responsible for managing the overall setup and configuration of the conference management software, including tasks such as user management, scheduling, submission handling, and other administrative functions necessary to ensure the smooth operation of the conference.","The class ""Administrator"" is a subclass of the class ""Person""."
http://confOf#Assistant,Source,Class,assistant,"In the context of a conference and using the extra information provided about ""confTool,"" an ""Assistant"" typically refers to a role or feature within the conference management software (confTool) that helps organizers and participants manage various aspects of the conference. This could include tasks such as scheduling sessions, managing registrations, handling submissions, and providing support to ensure the smooth operation of the event. The Assistant in this context acts as a facilitator to streamline the conference planning and execution process.","The class ""Assistant"" is a subclass of the class ""Person""."
http://confOf#Author,Source,Class,author,"In the context of a conference and using the extra information provided about confTool, the term ""Author"" refers to an individual who has submitted a paper, abstract, or presentation proposal to be considered for inclusion in the conference program. ConfTool is a conference management software that facilitates the submission, review, and management of conference contributions. Therefore, an ""Author"" in this context is someone who has used the confTool system to submit their work for review and potential presentation at the conference.","Sure, here are the triples verbalised into phrases:

1. The property ""writes"" has a domain of ""Author"".
2. The property ""writtenBy"" has a range of ""Author"".
3. ""Author"" is a subclass of ""Person""."
http://confOf#Banquet,Source,Class,banquet,"In the context of a conference, a banquet refers to a formal, large meal or feast typically held to celebrate or honor the attendees. It often includes multiple courses and is usually accompanied by speeches, presentations, or entertainment. The banquet serves as a social event where participants can network, relax, and enjoy a communal dining experience.","Sure, here are the triples verbalized into phrases:

1. ""Reception"" is disjoint with ""Banquet"".
2. ""Trip"" is disjoint with ""Banquet"".
3. ""Banquet"" is a subclass of ""Social event"".
4. ""Banquet"" is disjoint with ""Reception"".
5. ""Banquet"" is disjoint with ""Trip""."
http://confOf#Camera_Ready_event,Source,Class,camera ready event,"In the context of a conference, a ""Camera_Ready_event"" refers to the final submission of accepted contributions, such as papers or presentations, that are ready for publication. This means that the authors have made all necessary revisions and formatting adjustments as required by the conference guidelines. The term ""camera-ready"" indicates that the document is in its final form and can be directly used for printing or digital distribution. The upload of these final versions is typically managed through a conference management tool like ConfTool.","1. The ""Registration of participants event"" is disjoint with the ""Camera Ready event"".
2. The ""Reviewing event"" is disjoint with the ""Camera Ready event"".
3. The ""Reviewing results event"" is disjoint with the ""Camera Ready event"".
4. The ""Submission event"" is disjoint with the ""Camera Ready event"".
5. The ""Camera Ready event"" is a subclass of the ""Administrative event"".
6. The ""Camera Ready event"" is disjoint with the ""Registration of participants event"", the ""Reviewing event"", the ""Reviewing results event"", and the ""Submission event""."
http://confOf#Chair_PC,Source,Class,chair pc,"In the context of a conference and using the extra information provided (confTool), ""Chair_PC"" typically refers to the ""Program Committee Chair."" This is the individual responsible for overseeing the program committee, which is tasked with organizing the conference's academic or professional program, including the selection and review of submitted papers, scheduling sessions, and ensuring the overall quality and coherence of the conference content.","The class ""Chair_PC"" is a subclass of the class ""Person""."
http://confOf#City,Source,Class,city,"In the context of a conference, ""City"" typically refers to the urban location where the event is being held. It denotes the specific metropolitan area that hosts the conference, providing a geographical reference for attendees. This can be important for logistical planning, travel arrangements, and understanding the local amenities and attractions available to participants.","Sure, here are the triples verbalised into phrases:

1. The property ""hasCity"" has a range of ""City"".
2. ""Contribution"" is disjoint with ""City"".
3. ""Event"" is disjoint with ""City"".
4. ""Organization"" is disjoint with ""City"".
5. ""Person"" is disjoint with ""City"".
6. ""Topic"" is disjoint with ""City"".
7. ""City"" is disjoint with ""Contribution"".
8. ""City"" is disjoint with ""Event"".
9. ""City"" is disjoint with ""Organization"".
10. ""City"" is disjoint with ""Person"".
11. ""City"" is disjoint with ""Topic""."
http://confOf#Company,Source,Class,company,"In the context of a conference, the term ""company"" typically refers to a business organization or entity that is represented at the event. This could involve the company's employees attending the conference to network, share knowledge, present their products or services, or engage in discussions relevant to their industry. The presence of a company at a conference often aims to enhance its visibility, build partnerships, and stay updated on industry trends.","Sure, here are the triples verbalized into phrases:

1. ""Company"" is a subclass of ""Organization"".
2. ""Company"" is disjoint with ""University"".
3. ""University"" is disjoint with ""Company""."
http://confOf#Conference,Source,Class,conference,"In the context of ""conference,"" the term generally refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative activities. Conferences can be held in various fields such as business, education, science, technology, and more, and they often include presentations, workshops, and networking opportunities.","Sure, here are the triples verbalized into phrases:

1. ""Tutorial"" is disjoint with ""Conference"".
2. ""Workshop"" is disjoint with ""Conference"".
3. ""Conference"" is a subclass of ""Working_event"".
4. ""Conference"" is disjoint with ""Tutorial"".
5. ""Conference"" is disjoint with ""Workshop""."
