Entity2,Entity1
http://sigkdd#Author,http://confOf#Author
http://sigkdd#Author_of_paper,http://confOf#Author
http://sigkdd#Conference,http://confOf#Conference
http://sigkdd#Paper,http://confOf#Paper
http://sigkdd#Person,http://confOf#Person
http://sigkdd#Program_Chair,http://confOf#Chair_PC
http://sigkdd#Program_Committee,http://confOf#Member_PC
http://sigkdd#Program_Committee_member,http://confOf#Member_PC
http://sigkdd#E-mail,http://confOf#contactEmail
http://sigkdd#Start_of_conference,http://confOf#starts_on
