Entity1,Entity2
http://edas#AcademicEvent,http://ekaw#Scientific_Event
http://edas#AcceptedPaper,http://ekaw#Accepted_Paper
http://edas#Attendee,http://ekaw#Person
http://edas#Author,http://ekaw#Paper_Author
http://edas#Conference,http://ekaw#Conference
http://edas#ConferenceDinner,http://ekaw#Conference_Banquet
http://edas#ConferenceEvent,http://ekaw#Event
http://edas#ConferenceSession,http://ekaw#Conference_Session
http://edas#ConferenceVenuePlace,http://ekaw#Location
http://edas#Document,http://ekaw#Document
http://edas#Organization,http://ekaw#Organisation
http://edas#Paper,http://ekaw#Paper
http://edas#PaperPresentation,http://ekaw#Conference_Paper
http://edas#Person,http://ekaw#Person
http://edas#Presenter,http://ekaw#Presenter
http://edas#RatedPapers,http://ekaw#Evaluated_Paper
http://edas#RejectRating,http://ekaw#Rejected_Paper
http://edas#RejectedPaper,http://ekaw#Rejected_Paper
http://edas#Review,http://ekaw#Review
http://edas#SessionChair,http://ekaw#Session_Chair
http://edas#SocialEvent,http://ekaw#Social_Event
http://edas#TPCMember,http://ekaw#PC_Member
http://edas#TalkEvent,http://ekaw#Conference_Session
http://edas#Topic,http://ekaw#Research_Topic
http://edas#Workshop,http://ekaw#Workshop
http://edas#belongsToEvent,http://ekaw#partOfEvent
http://edas#isLocationOf,http://ekaw#partOfEvent
http://edas#isWrittenBy,http://ekaw#writtenBy
