Entity2,Entity1
http://ekaw#Accepted_Paper,http://edas#AcceptedPaper
http://ekaw#Conference,http://edas#Conference
http://ekaw#Conference_Banquet,http://edas#ConferenceDinner
http://ekaw#Conference_Paper,http://edas#Paper
http://ekaw#Conference_Participant,http://edas#Person
http://ekaw#Conference_Proceedings,http://edas#Paper
http://ekaw#Conference_Session,http://edas#ConferenceSession
http://ekaw#Document,http://edas#Document
http://ekaw#Event,http://edas#ConferenceEvent
http://ekaw#Individual_Presentation,http://edas#Presenter
http://ekaw#Invited_Speaker,http://edas#Presenter
http://ekaw#Location,http://edas#Place
http://ekaw#OC_Member,http://edas#Person
http://ekaw#Organisation,http://edas#Organization
http://ekaw#PC_Member,http://edas#TPCMember
http://ekaw#Paper,http://edas#Paper
http://ekaw#Paper_Author,http://edas#Author
http://ekaw#Person,http://edas#Person
http://ekaw#Presenter,http://edas#Presenter
http://ekaw#Rejected_Paper,http://edas#RejectedPaper
http://ekaw#Review,http://edas#Review
http://ekaw#Scientific_Event,http://edas#Conference
http://ekaw#Session,http://edas#ConferenceSession
http://ekaw#Session_Chair,http://edas#SessionChair
http://ekaw#Social_Event,http://edas#SocialEvent
http://ekaw#Student,http://edas#Person
http://ekaw#Workshop,http://edas#Workshop
http://ekaw#authorOf,http://edas#isWrittenBy
http://ekaw#reviewerOfPaper,http://edas#isReviewing
