Entity1,Entity2
http://edas#AcademiaOrganization,http://ekaw#Academic_Institution
http://edas#AcademicEvent,http://ekaw#Scientific_Event
http://edas#AcceptedPaper,http://ekaw#Accepted_Paper
http://edas#Attendee,http://ekaw#Conference_Participant
http://edas#Author,http://ekaw#Paper_Author
http://edas#ConferenceDinner,http://ekaw#Conference_Banquet
http://edas#ConferenceEvent,http://ekaw#Event
http://edas#Document,http://ekaw#Document
http://edas#Organization,http://ekaw#Organisation
http://edas#Paper,http://ekaw#Paper
http://edas#Person,http://ekaw#Person
http://edas#Place,http://ekaw#Location
http://edas#Programme,http://ekaw#Programme_Brochure
http://edas#RejectedPaper,http://ekaw#Rejected_Paper
http://edas#Review,http://ekaw#Review
http://edas#SessionChair,http://ekaw#Session_Chair
http://edas#SocialEvent,http://ekaw#Social_Event
http://edas#Topic,http://ekaw#Research_Topic
http://edas#Workshop,http://ekaw#Workshop
http://edas#hasLocation,http://ekaw#heldIn
http://edas#isLocationOf,http://ekaw#locationOf
http://edas#isReviewedBy,http://ekaw#hasReviewer
http://edas#isReviewing,http://ekaw#reviewerOfPaper
