entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://edas#AcademiaOrganization,Source,Class,academia organization,"In the context of a conference, ""AcademiaOrganization"" typically refers to an academic institution or a scholarly body that is involved in organizing, sponsoring, or participating in the conference. This could include universities, research institutes, academic societies, or professional associations that contribute to the planning, execution, or support of the conference, often with the aim of advancing knowledge, research, and professional development within a specific field.","1. A Government Organization is disjoint with an Academia Organization.
2. An Industry Organization is disjoint with an Academia Organization.
3. An NGO is disjoint with an Academia Organization.
4. An Academia Organization is a subclass of an Organization.
5. An Academia Organization is disjoint with a Government Organization, an Industry Organization, and an NGO."
http://edas#AcademicEvent,Source,Class,academic event,"In the context of a conference, an ""AcademicEvent"" refers to a gathering or meeting where scholars, researchers, and professionals come together to present their research findings, share knowledge, discuss advancements in their field, and network with peers. These events can include various activities such as keynote speeches, paper presentations, panel discussions, workshops, and poster sessions. The primary goal of an AcademicEvent in this context is to foster academic collaboration, disseminate new research, and contribute to the advancement of knowledge within a specific discipline or across multiple disciplines.","1. ""OrganizationalMeeting"" is a subclass of ""AcademicEvent"".
2. ""PaperPresentation"" is a subclass of ""AcademicEvent"".
3. ""TalkEvent"" is a subclass of ""AcademicEvent"".
4. ""Workshop"" is a subclass of ""AcademicEvent"".
5. The property ""forEvent"" has a range of ""AcademicEvent"".
6. The property ""hasCall"" has a domain of ""AcademicEvent"".
7. ""NonAcademicEvent"" is disjoint with ""AcademicEvent"".
8. ""AcademicEvent"" is a subclass of ""ConferenceEvent"" and is disjoint with ""NonAcademicEvent""."
http://edas#AcceptRating,Source,Class,accept rating,"In the context of a conference, ""AcceptRating"" typically refers to the evaluation or score given to a submitted paper or presentation proposal by reviewers. This rating helps determine whether the submission should be accepted for inclusion in the conference program. The AcceptRating is usually based on criteria such as relevance, originality, quality of research, and clarity of presentation.","Sure, here are the triples verbalised into phrases:

1. ""AccpetIfRoomRating"" is disjoint with ""AcceptRating"".
2. ""RejectRating"" is disjoint with ""AcceptRating"".
3. ""WeekRejectRating"" is disjoint with ""AcceptRating"".
4. ""AcceptRating"" is a subclass of ""ReviewRating"".
5. ""AcceptRating"" is disjoint with ""AccpetIfRoomRating"", ""RejectRating"", and ""WeekRejectRating""."
http://edas#AcceptedPaper,Source,Class,accepted paper,"In the context of a conference, ""AcceptedPaper"" refers to a research paper or academic article that has been reviewed and approved by the conference's program committee or reviewers for presentation at the conference. This means that the paper has met the necessary standards of quality, relevance, and originality set by the conference organizers and will be included in the conference proceedings.","Sure, here are the triples verbalised into phrases:

1. The domain of ""relatedToEvent"" is ""AcceptedPaper"".
2. The range of ""relatedToPaper"" is ""AcceptedPaper"".
3. ""ActivePaper"" is disjoint with ""AcceptedPaper"".
4. ""PendingPaper"" is disjoint with ""AcceptedPaper"".
5. ""PublishedPaper"" is disjoint with ""AcceptedPaper"".
6. ""RejectedPaper"" is disjoint with ""AcceptedPaper"".
7. ""WithdrawnPaper"" is disjoint with ""AcceptedPaper"".
8. ""AcceptedPaper"" is a subclass of ""Paper"".
9. ""AcceptedPaper"" is disjoint with ""ActivePaper"".
10. ""AcceptedPaper"" is disjoint with ""PendingPaper"".
11. ""AcceptedPaper"" is disjoint with ""PublishedPaper"".
12. ""AcceptedPaper"" is disjoint with ""RejectedPaper"".
13. ""AcceptedPaper"" is disjoint with ""WithdrawnPaper""."
http://edas#AccommodationPlace,Source,Class,accommodation place,"In the context of a conference, ""AccommodationPlace"" refers to the location or facility where attendees can stay during the event. This could include hotels, hostels, or other lodging options that are either recommended or arranged by the conference organizers to provide convenient and comfortable accommodations for participants.","The class ""AccommodationPlace"" is a subclass of the class ""Place""."
http://edas#AccpetIfRoomRating,Source,Class,accpet if room rating,"In the context of a conference, ""AcceptIfRoomRating"" likely refers to a criterion used to determine whether a presentation or session proposal will be accepted based on the availability and suitability of the room. This could mean that the proposal will be accepted if there is an appropriate room available that meets the requirements for the session, such as size, equipment, and other logistical considerations.","Sure, here are the triples verbalised into phrases:

1. ""AcceptRating"" is disjoint with ""AccpetIfRoomRating"".
2. ""RejectRating"" is disjoint with ""AccpetIfRoomRating"".
3. ""WeekRejectRating"" is disjoint with ""AccpetIfRoomRating"".
4. ""AccpetIfRoomRating"" is a subclass of ""ReviewRating"".
5. ""AccpetIfRoomRating"" is disjoint with ""AcceptRating"".
6. ""AccpetIfRoomRating"" is disjoint with ""RejectRating"".
7. ""AccpetIfRoomRating"" is disjoint with ""WeekRejectRating""."
http://edas#ActivePaper,Source,Class,active paper,"In the context of a conference, ""ActivePaper"" refers to a digital document that is not only a static representation of research findings but also includes interactive elements. These elements can include executable code, dynamic visualizations, and other interactive features that allow readers to engage with the content in a more meaningful way. This approach enhances the traditional paper by enabling real-time data manipulation, exploration of results, and a deeper understanding of the research presented.","Sure, here are the triples verbalised into phrases:

1. ""RatedPapers"" is a subclass of ""ActivePaper"".
2. The property ""hasRating"" has a domain of ""ActivePaper"".
3. ""AcceptedPaper"" is disjoint with ""ActivePaper"".
4. ""PendingPaper"" is disjoint with ""ActivePaper"".
5. ""PublishedPaper"" is disjoint with ""ActivePaper"".
6. ""RejectedPaper"" is disjoint with ""ActivePaper"".
7. ""WithdrawnPaper"" is disjoint with ""ActivePaper"".
8. ""ActivePaper"" is a subclass of ""Paper"".
9. ""ActivePaper"" is disjoint with ""AcceptedPaper"", ""PendingPaper"", ""PublishedPaper"", ""RejectedPaper"", and ""WithdrawnPaper""."
http://edas#AntennasTopic,Source,Class,antennas topic,"In the context of a conference, ""AntennasTopic"" likely refers to a specific session, track, or subject area focused on the study, design, and application of antennas. This could include discussions on the latest research, technological advancements, practical implementations, and theoretical developments related to antennas in various fields such as telecommunications, broadcasting, radar, and satellite communications.","Sure, here are the triples verbalised into phrases:

1. CADTopic is disjoint with AntennasTopic.
2. CommunicationTheoryTopic is disjoint with AntennasTopic.
3. CommunicationsTopic is disjoint with AntennasTopic.
4. ComputerArchitectureTopic is disjoint with AntennasTopic.
5. ComputerNetworksTopic is disjoint with AntennasTopic.
6. CryptographyTopic is disjoint with AntennasTopic.
7. MedicineTopic is disjoint with AntennasTopic.
8. MicroelectronicsTopic is disjoint with AntennasTopic.
9. MobileComputingTopic is disjoint with AntennasTopic.
10. MultimediaTopic is disjoint with AntennasTopic.
11. OperatingTopicsystems is disjoint with AntennasTopic.
12. ParallelAndDistributedComputingTopic is disjoint with AntennasTopic.
13. PerformanceTopic is disjoint with AntennasTopic.
14. PowerlineTransmissionTopic is disjoint with AntennasTopic.
15. RadioCommunicationsTopic is disjoint with AntennasTopic.
16. SatelliteAndSpaceCommunicationsTopic is disjoint with AntennasTopic.
17. SecurityTopic is disjoint with AntennasTopic.
18. SignalProcessingTopic is disjoint with AntennasTopic.
19. TestOnlyTopic is disjoint with AntennasTopic.
20. WirelessCommunicationsTopic is disjoint with AntennasTopic.
21. AntennasTopic is a subclass of Topic.
22. AntennasTopic is disjoint with CADTopic, CommunicationTheoryTopic, CommunicationsTopic, ComputerArchitectureTopic, ComputerNetworksTopic, CryptographyTopic, MedicineTopic, MicroelectronicsTopic, MobileComputingTopic, MultimediaTopic, OperatingTopicsystems, ParallelAndDistributedComputingTopic, PerformanceTopic, PowerlineTransmissionTopic, RadioCommunicationsTopic, SatelliteAndSpaceCommunicationsTopic, SecurityTopic, SignalProcessingTopic, TestOnlyTopic, and WirelessCommunicationsTopic."
http://edas#Attendee,Source,Class,attendee,"In the context of a conference, an ""attendee"" refers to a person who is present at the event. This individual participates in the conference activities, which may include listening to presentations, engaging in discussions, networking with other participants, and attending workshops or seminars.","The class ""Attendee"" is a subclass of the class ""Person""."
http://edas#Author,Source,Class,author,"In the context of a conference, an ""author"" typically refers to an individual who has written a paper, article, or study that is being presented or discussed at the event. This person is responsible for the research and content of the work and is often the primary presenter or speaker during sessions where their work is featured.","1. A ""Presenter"" is a subclass of ""Author"".
2. The property ""hasRelatedPaper"" has a domain of ""Author"".
3. The property ""isWrittenBy"" has a range of ""Author"".
4. ""ConferenceChair"" is disjoint with ""Author"".
5. ""SessionChair"" is disjoint with ""Author"".
6. ""TPCMember"" is disjoint with ""Author"".
7. ""Author"" is disjoint with ""ConferenceChair"", ""SessionChair"", and ""TPCMember""."
