Entity1,Entity2
http://edas#AcceptedPaper,http://iasted#Accepting_manuscript
http://edas#Author,http://iasted#Author
http://edas#CoffeeBreak,http://iasted#Coffee_break
http://edas#ConferenceDinner,http://iasted#Dinner_banquet
http://edas#ConferenceSession,http://iasted#Session
http://edas#Document,http://iasted#Document
http://edas#Excursion,http://iasted#Trip_day
http://edas#MeetingRoomPlace,http://iasted#Session_room
http://edas#Person,http://iasted#Person
http://edas#Place,http://iasted#Place
http://edas#Presenter,http://iasted#Speaker
http://edas#PublishedPaper,http://iasted#Publication
http://edas#RejectedPaper,http://iasted#Refusing_manuscript
http://edas#Review,http://iasted#Review
http://edas#Reviewer,http://iasted#Reviewer
http://edas#SessionChair,http://iasted#Session_chair
http://edas#SlideSet,http://iasted#PowerPoint_presentation
http://edas#WelcomeTalk,http://iasted#Welcome_address
