Entity1,Entity2
http://edas#Attendee,http://iasted#Delegate
http://edas#Author,http://iasted#Author
http://edas#CoffeeBreak,http://iasted#Coffee_break
http://edas#ConferenceDinner,http://iasted#Dinner_banquet
http://edas#ConferenceEvent,http://iasted#Conference_activity
http://edas#ConferenceVenuePlace,http://iasted#Conference_building
http://edas#Country,http://iasted#State
http://edas#DiningPlace,http://iasted#Conference_restaurant
http://edas#Document,http://iasted#Document
http://edas#Paper,http://iasted#Submission
http://edas#Place,http://iasted#Place
http://edas#Reception,http://iasted#Coctail_reception
http://edas#Review,http://iasted#Review
http://edas#Reviewer,http://iasted#Reviewer
http://edas#SessionChair,http://iasted#Session_chair
http://edas#SlideSet,http://iasted#Transparency
http://edas#SocialEvent,http://iasted#Social_program
http://edas#Sponsorship,http://iasted#Sponzorship
http://edas#WelcomeTalk,http://iasted#Welcome_address
