Entity1,Entity2
http://edas#Author,http://sigkdd#Author
http://edas#Conference,http://sigkdd#Conference
http://edas#ConferenceChair,http://sigkdd#General_Chair
http://edas#Document,http://sigkdd#Document
http://edas#Paper,http://sigkdd#Paper
http://edas#Person,http://sigkdd#Person
http://edas#Place,http://sigkdd#Place
http://edas#Presenter,http://sigkdd#Speaker
http://edas#Review,http://sigkdd#Review
http://edas#TPCMember,http://sigkdd#Program_Committee_member
http://edas#endDate,http://sigkdd#End_of_conference
http://edas#hasSubmissionDeadline,http://sigkdd#submit_until
