Entity1,Entity2
http://edas#AcademicEvent,http://sigkdd#Conference
http://edas#AcceptedPaper,http://sigkdd#Paper
http://edas#Attendee,http://sigkdd#Person
http://edas#Author,http://sigkdd#Author
http://edas#Conference,http://sigkdd#Conference
http://edas#ConferenceChair,http://sigkdd#General_Chair
http://edas#ConferenceEvent,http://sigkdd#Conference
http://edas#ConferenceVenuePlace,http://sigkdd#Place
http://edas#Document,http://sigkdd#Document
http://edas#Paper,http://sigkdd#Paper
http://edas#Person,http://sigkdd#Person
http://edas#Place,http://sigkdd#Place
http://edas#Presenter,http://sigkdd#Speaker
http://edas#PublishedPaper,http://sigkdd#Paper
http://edas#Review,http://sigkdd#Review
http://edas#TPCMember,http://sigkdd#Program_Committee_member
http://edas#endDate,http://sigkdd#End_of_conference
http://edas#hasEmail,http://sigkdd#E-mail
http://edas#hasStartDateTime,http://sigkdd#Start_of_conference
http://edas#hasSubmissionDeadline,http://sigkdd#submit_until
http://edas#manuscriptDueOn,http://sigkdd#Date
http://edas#providedBy,http://sigkdd#Name_of_sponsor
