Entity2,Entity1
http://sigkdd#ACM_SIGKDD,http://edas#Conference
http://sigkdd#Author,http://edas#Author
http://sigkdd#Author_of_paper,http://edas#Author
http://sigkdd#Conference,http://edas#Conference
http://sigkdd#Conference_hall,http://edas#ConferenceVenuePlace
http://sigkdd#Document,http://edas#Document
http://sigkdd#General_Chair,http://edas#ConferenceChair
http://sigkdd#Hotel,http://edas#AccommodationPlace
http://sigkdd#Paper,http://edas#Paper
http://sigkdd#Person,http://edas#Person
http://sigkdd#Place,http://edas#Place
http://sigkdd#Program_Committee_member,http://edas#TPCMember
http://sigkdd#Review,http://edas#Review
http://sigkdd#Speaker,http://edas#Presenter
http://sigkdd#End_of_conference,http://edas#endDate
http://sigkdd#Price,http://edas#hasCostAmount
http://sigkdd#Start_of_conference,http://edas#startDate
http://sigkdd#submit_until,http://edas#hasSubmissionDeadline
