Entity1,Entity2
http://edas#AccommodationPlace,http://sigkdd#Hotel
http://edas#Attendee,http://sigkdd#Listener
http://edas#Author,http://sigkdd#Author
http://edas#Conference,http://sigkdd#Conference
http://edas#ConferenceChair,http://sigkdd#General_Chair
http://edas#ConferenceVenuePlace,http://sigkdd#Conference_hall
http://edas#Document,http://sigkdd#Document
http://edas#Paper,http://sigkdd#Paper
http://edas#Person,http://sigkdd#Person
http://edas#Place,http://sigkdd#Place
http://edas#Review,http://sigkdd#Review
http://edas#endDate,http://sigkdd#End_of_conference
http://edas#hasCostAmount,http://sigkdd#Price
http://edas#hasName,http://sigkdd#Name_of_conference
http://edas#startDate,http://sigkdd#Start_of_conference
