entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://ekaw#Abstract,Source,Class,abstract,"In the context of a conference, an ""abstract"" is a brief summary of a research paper, presentation, or study that is typically submitted for consideration to be included in the conference program. The abstract provides an overview of the main objectives, methods, results, and conclusions of the work, allowing reviewers and attendees to quickly understand the essence and significance of the research. It helps in determining the relevance and quality of the work for the conference's themes and audience.","Sure, here are the triples verbalised into phrases:

1. ""Invited_Talk_Abstract"" is a subclass of ""Abstract"".
2. ""Tutorial_Abstract"" is a subclass of ""Abstract"".
3. ""Abstract"" is a subclass of ""Document""."
http://ekaw#Academic_Institution,Source,Class,academic institution,"In the context of a conference, an ""Academic Institution"" refers to a school, college, university, or any other educational organization that is involved in higher education and research. These institutions often participate in conferences to present research findings, collaborate with other scholars, and engage in academic discussions. Faculty members, researchers, and students from academic institutions may attend and contribute to the conference through presentations, papers, and panel discussions.","1. A Research Institute is a subclass of an Academic Institution.
2. A University is a subclass of an Academic Institution.
3. The property ""scientificallyOrganisedBy"" has a range of Academic Institution.
4. The property ""scientificallyOrganises"" has a domain of Academic Institution.
5. An Organising Agency is disjoint with an Academic Institution.
6. An Academic Institution is a subclass of an Organisation.
7. An Academic Institution is disjoint with an Organising Agency."
http://ekaw#Accepted_Paper,Source,Class,accepted paper,"In the context of a conference, an ""Accepted Paper"" refers to a research paper that has been reviewed and approved by the conference's review committee for inclusion in the conference proceedings. This means that the paper, in its accepted form, has met the necessary standards and criteria set by the conference organizers. It is important to note that a ""camera-ready paper"" is not considered an ""accepted paper"" because it represents a finalized version that may have undergone further revisions after acceptance. The term ""accepted paper"" specifically refers to the version that was initially approved for inclusion in the proceedings.","Sure, here are the triples verbalized into phrases:

1. ""Camera_Ready_Paper"" is disjoint with ""Accepted_Paper"".
2. ""Rejected_Paper"" is disjoint with ""Accepted_Paper"".
3. ""Accepted_Paper"" is a subclass of ""Evaluated_Paper"".
4. ""Accepted_Paper"" is disjoint with ""Camera_Ready_Paper"".
5. ""Accepted_Paper"" is disjoint with ""Rejected_Paper""."
http://ekaw#Agency_Staff_Member,Source,Class,agency staff member,"In the context of a conference, an ""Agency_Staff_Member"" refers to an individual who is employed by a specific agency and is attending or participating in the conference in their professional capacity. This person may be involved in organizing, presenting, or supporting the event on behalf of their agency. Their role could include tasks such as managing logistics, providing information, networking with attendees, or representing their agency's interests and objectives at the conference.","The class ""Agency_Staff_Member"" is a subclass of the class ""Person""."
http://ekaw#Assigned_Paper,Source,Class,assigned paper,"In the context of a conference, ""Assigned_Paper"" refers to a research paper or academic paper that has been allocated to a specific reviewer or set of reviewers for evaluation. This process is part of the peer review system, where experts in the field assess the quality, validity, and relevance of the submitted papers before they are accepted for presentation at the conference or for publication in the conference proceedings.","Sure, here are the triples verbalized into phrases:

1. ""Evaluated_Paper"" is a subclass of ""Assigned_Paper"".
2. ""Assigned_Paper"" is a subclass of ""Submitted_Paper""."
http://ekaw#Camera_Ready_Paper,Source,Class,camera ready paper,"In the context of a conference, a ""Camera-Ready Paper"" refers to the final version of a research paper that is ready for publication. This version has typically undergone peer review and any necessary revisions. It must adhere to the formatting and submission guidelines specified by the conference organizers. The term ""camera-ready"" implies that the paper is in its final form and can be directly used for printing or digital distribution in the conference proceedings.","1. An ""Accepted_Paper"" is disjoint with a ""Camera_Ready_Paper"".
2. An ""Evaluated_Paper"" is disjoint with a ""Camera_Ready_Paper"".
3. A ""Submitted_Paper"" is disjoint with a ""Camera_Ready_Paper"".
4. A ""Camera_Ready_Paper"" is a subclass of ""Paper"".
5. A ""Camera_Ready_Paper"" is disjoint with an ""Accepted_Paper"".
6. A ""Camera_Ready_Paper"" is disjoint with an ""Evaluated_Paper"".
7. A ""Camera_Ready_Paper"" is disjoint with a ""Submitted_Paper""."
http://ekaw#Conference,Source,Class,conference,"A conference, in the given context, refers to a formal meeting or gathering where individuals discuss specific topics, share research, and exchange ideas. When mentioning ""one edition of a conference,"" it implies a particular instance or occurrence of this event, often held periodically, such as annually or biennially. Each edition typically features a unique program, set of speakers, and agenda, contributing to the ongoing discourse within the relevant field or industry.","1. A ""Contributed Talk"" is disjoint with a ""Conference"".
2. An ""Invited Talk"" is disjoint with a ""Conference"".
3. A ""Session"" is disjoint with a ""Conference"".
4. A ""Social Event"" is disjoint with a ""Conference"".
5. A ""Track"" is disjoint with a ""Conference"".
6. A ""Tutorial"" is disjoint with a ""Conference"".
7. A ""Workshop"" is disjoint with a ""Conference"".
8. A ""Conference"" is a subclass of a ""Scientific Event"".
9. A ""Conference"" is disjoint with a ""Contributed Talk"".
10. A ""Conference"" is disjoint with an ""Invited Talk"".
11. A ""Conference"" is disjoint with a ""Session"".
12. A ""Conference"" is disjoint with a ""Social Event"".
13. A ""Conference"" is disjoint with a ""Track"".
14. A ""Conference"" is disjoint with a ""Tutorial"".
15. A ""Conference"" is disjoint with a ""Workshop""."
http://ekaw#Conference_Banquet,Source,Class,conference banquet,"In the context of a conference, a ""Conference Banquet"" refers to a formal meal or dinner event organized as part of the conference activities. It typically takes place in the evening and serves as an opportunity for attendees to network, socialize, and relax in a more informal setting compared to the conference sessions. The banquet may include speeches, entertainment, and the presentation of awards or recognitions. It is often considered a highlight of the conference, providing a chance for participants to connect on a personal level.","The class ""Conference Banquet"" is a subclass of ""Social Event""."
http://ekaw#Conference_Paper,Source,Class,conference paper,"In the context of a conference, a ""Conference Paper"" refers to a scholarly paper that is presented by an author or authors at a professional conference. These papers are typically subject to a peer-review process before being accepted for presentation. The content of a conference paper usually includes original research, findings, or advancements in a specific field of study. After presentation, these papers may be published in the conference proceedings, which are collections of papers presented at the conference.","Sure, here are the triples verbalized into phrases:

1. ""Conference_Paper"" is a subclass of ""Paper"".
2. ""Conference_Paper"" is disjoint with ""Workshop_Paper"".
3. ""Workshop_Paper"" is disjoint with ""Conference_Paper""."
http://ekaw#Conference_Participant,Source,Class,conference participant,"In the context of a conference, a ""Conference_Participant"" refers to an individual who attends and takes part in the conference. This can include a variety of roles such as speakers, presenters, panelists, attendees, and sometimes even organizers. Participants engage in various activities such as listening to presentations, participating in discussions, networking with other attendees, and contributing to the overall objectives of the conference.","Sure, here are the triples verbalised into phrases:

1. ""Demo_Chair"" is a subclass of ""Conference_Participant"".
2. ""Early-Registered_Participant"" is a subclass of ""Conference_Participant"".
3. ""Late-Registered_Participant"" is a subclass of ""Conference_Participant"".
4. ""OC_Member"" is a subclass of ""Conference_Participant"".
5. ""PC_Chair"" is a subclass of ""Conference_Participant"".
6. ""Presenter"" is a subclass of ""Conference_Participant"".
7. ""Session_Chair"" is a subclass of ""Conference_Participant"".
8. ""Tutorial_Chair"" is a subclass of ""Conference_Participant"".
9. ""Workshop_Chair"" is a subclass of ""Conference_Participant"".
10. ""Conference_Participant"" is a subclass of ""Person""."
