Entity1,Entity2
http://ekaw#Accepted_Paper,http://iasted#Accepting_manuscript
http://ekaw#Document,http://iasted#Document
http://ekaw#Location,http://iasted#Conference_city
http://ekaw#Paper,http://iasted#Publication
http://ekaw#Paper_Author,http://iasted#Author
http://ekaw#Person,http://iasted#Person
http://ekaw#Presenter,http://iasted#Lecturer
http://ekaw#Rejected_Paper,http://iasted#Refusing_manuscript
http://ekaw#Review,http://iasted#Review
http://ekaw#Session,http://iasted#Session
http://ekaw#Session_Chair,http://iasted#Session_chair
http://ekaw#Tutorial,http://iasted#Tutorial
http://ekaw#authorOf,http://iasted#is_writen_by
