Entity1,Entity2
http://ekaw#Accepted_Paper,http://iasted#Accepting_manuscript
http://ekaw#Conference_Banquet,http://iasted#Dinner_banquet
http://ekaw#Conference_Paper,http://iasted#Publication
http://ekaw#Conference_Participant,http://iasted#Person
http://ekaw#Conference_Proceedings,http://iasted#Publication
http://ekaw#Conference_Session,http://iasted#Session
http://ekaw#Document,http://iasted#Document
http://ekaw#Invited_Talk,http://iasted#Speaker
http://ekaw#Location,http://iasted#Conference_city
http://ekaw#Paper,http://iasted#Publication
http://ekaw#Paper_Author,http://iasted#Author
http://ekaw#Person,http://iasted#Person
http://ekaw#Poster_Session,http://iasted#Non_speaker
http://ekaw#Presenter,http://iasted#Lecturer
http://ekaw#Rejected_Paper,http://iasted#Non_speaker
http://ekaw#Rejected_Paper,http://iasted#Refusing_manuscript
http://ekaw#Review,http://iasted#Review
http://ekaw#Session,http://iasted#Session
http://ekaw#Session_Chair,http://iasted#Session_chair
http://ekaw#Student,http://iasted#Person
http://ekaw#Submitted_Paper,http://iasted#Submission
http://ekaw#Tutorial,http://iasted#Tutorial
http://ekaw#authorOf,http://iasted#is_writen_by
http://ekaw#heldIn,http://iasted#is_held_in
