Entity2,Entity1
http://iasted#Accepting_manuscript,http://ekaw#Accepted_Paper
http://iasted#Author,http://ekaw#Paper_Author
http://iasted#Author_cd_proceedings_included,http://ekaw#Conference_Proceedings
http://iasted#Camera_ready_manuscript_deadline,http://ekaw#Camera_Ready_Paper
http://iasted#Coctail_reception,http://ekaw#Social_Event
http://iasted#Conference_activity,http://ekaw#Event
http://iasted#Conference_city,http://ekaw#Location
http://iasted#Document,http://ekaw#Document
http://iasted#Lecturer,http://ekaw#Presenter
http://iasted#Person,http://ekaw#Person
http://iasted#Publication,http://ekaw#Paper
http://iasted#Refusing_manuscript,http://ekaw#Rejected_Paper
http://iasted#Review,http://ekaw#Review
http://iasted#Session,http://ekaw#Session
http://iasted#Session_chair,http://ekaw#Session_Chair
http://iasted#Speaker,http://ekaw#Presenter
http://iasted#Speaker_lecture,http://ekaw#Presenter
http://iasted#Trip_day,http://ekaw#Conference_Trip
http://iasted#Tutorial,http://ekaw#Tutorial
http://iasted#is_writen_by,http://ekaw#authorOf
