entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://ekaw#Abstract,Source,Class,abstract,"In the context of a conference, an ""abstract"" is a brief summary of a research paper, presentation, or study that is typically submitted for consideration to be included in the conference program. The abstract provides an overview of the main objectives, methods, results, and conclusions of the work, allowing reviewers and attendees to quickly understand the essence of the research and its relevance to the conference themes.","Sure, here are the triples verbalised into phrases:

1. ""Invited_Talk_Abstract"" is a subclass of ""Abstract"".
2. ""Tutorial_Abstract"" is a subclass of ""Abstract"".
3. ""Abstract"" is a subclass of ""Document""."
http://ekaw#Academic_Institution,Source,Class,academic institution,"In the context of a conference, an ""Academic Institution"" refers to a school, college, university, or any other educational organization that is involved in higher education and research. These institutions often participate in conferences to present research findings, collaborate with other scholars, and engage in academic discussions. Faculty members, researchers, and students from academic institutions may attend conferences to share their work, gain insights from peers, and stay updated on developments in their field of study.","1. A Research Institute is a subclass of an Academic Institution.
2. A University is a subclass of an Academic Institution.
3. The property ""scientificallyOrganisedBy"" has a range of Academic Institution.
4. The property ""scientificallyOrganises"" has a domain of Academic Institution.
5. An Organising Agency is disjoint with an Academic Institution.
6. An Academic Institution is a subclass of an Organisation and is disjoint with an Organising Agency."
http://ekaw#Accepted_Paper,Source,Class,accepted paper,"In the context of a conference, an ""Accepted Paper"" refers to a research paper that has been reviewed and approved by the conference's review committee to be included in the conference proceedings. It is important to note that a ""camera-ready paper"" is not considered an ""accepted paper"" because it represents a finalized version that was accepted in a different form. The term ""accepted paper"" specifically pertains to the version that was initially approved for inclusion in the proceedings.","Sure, here are the triples verbalized into phrases:

1. ""Camera_Ready_Paper"" is disjoint with ""Accepted_Paper"".
2. ""Rejected_Paper"" is disjoint with ""Accepted_Paper"".
3. ""Accepted_Paper"" is a subclass of ""Evaluated_Paper"".
4. ""Accepted_Paper"" is disjoint with ""Camera_Ready_Paper"".
5. ""Accepted_Paper"" is disjoint with ""Rejected_Paper""."
http://ekaw#Agency_Staff_Member,Source,Class,agency staff member,"In the context of a conference, an ""Agency_Staff_Member"" refers to an individual who is employed by a specific agency and is attending or participating in the conference as a representative of that agency. This person may be involved in various roles such as organizing, presenting, networking, or providing support services during the event. Their primary function is to represent their agency's interests and objectives at the conference.","The class ""Agency_Staff_Member"" is a subclass of the class ""Person""."
http://ekaw#Assigned_Paper,Source,Class,assigned paper,"In the context of a conference, ""Assigned_Paper"" refers to a research paper or presentation that has been allocated to a specific reviewer, session chair, or committee member for evaluation, review, or presentation scheduling. This assignment is part of the conference's organizational process to ensure that each submitted paper is properly reviewed and managed according to the conference's standards and procedures.","Sure, here are the triples verbalized into phrases:

1. ""Evaluated_Paper"" is a subclass of ""Assigned_Paper"".
2. ""Assigned_Paper"" is a subclass of ""Submitted_Paper""."
http://ekaw#Camera_Ready_Paper,Source,Class,camera ready paper,"In the context of a conference, a ""Camera-Ready Paper"" refers to the final version of a research paper that is ready to be published in the conference proceedings. This version has typically undergone peer review and any necessary revisions. It must adhere to the formatting and submission guidelines specified by the conference organizers, ensuring that it is in a suitable format for printing or digital distribution without requiring further modifications.","Sure, here are the triples verbalized into phrases:

1. ""Accepted_Paper"" is disjoint with ""Camera_Ready_Paper"".
2. ""Evaluated_Paper"" is disjoint with ""Camera_Ready_Paper"".
3. ""Submitted_Paper"" is disjoint with ""Camera_Ready_Paper"".
4. ""Camera_Ready_Paper"" is a subclass of ""Paper"".
5. ""Camera_Ready_Paper"" is disjoint with ""Accepted_Paper"".
6. ""Camera_Ready_Paper"" is disjoint with ""Evaluated_Paper"".
7. ""Camera_Ready_Paper"" is disjoint with ""Submitted_Paper""."
http://ekaw#Conference,Source,Class,conference,"In the given context, a ""conference"" refers to a formal meeting or gathering where individuals or groups come together to discuss specific topics, share information, and engage in collaborative activities. The term ""one edition of a conference"" implies a single instance or occurrence of such a meeting, typically part of a series that may happen annually or at regular intervals. This edition would include all the events, presentations, and discussions scheduled for that particular instance of the conference.","1. A ""Contributed Talk"" is disjoint with a ""Conference"".
2. An ""Invited Talk"" is disjoint with a ""Conference"".
3. A ""Session"" is disjoint with a ""Conference"".
4. A ""Social Event"" is disjoint with a ""Conference"".
5. A ""Track"" is disjoint with a ""Conference"".
6. A ""Tutorial"" is disjoint with a ""Conference"".
7. A ""Workshop"" is disjoint with a ""Conference"".
8. A ""Conference"" is a subclass of a ""Scientific Event"".
9. A ""Conference"" is disjoint with a ""Contributed Talk"", an ""Invited Talk"", a ""Session"", a ""Social Event"", a ""Track"", a ""Tutorial"", and a ""Workshop""."
http://ekaw#Conference_Banquet,Source,Class,conference banquet,"In the context of a conference, a ""Conference Banquet"" refers to a formal meal or dinner event organized as part of the conference activities. It typically takes place in the evening and serves as an opportunity for attendees to network, socialize, and relax in a more informal setting compared to the conference sessions. The banquet often includes speeches, entertainment, and sometimes awards or recognitions. It is a key social component of the conference, fostering community and collaboration among participants.","The class ""Conference Banquet"" is a subclass of ""Social Event""."
http://ekaw#Conference_Paper,Source,Class,conference paper,"In the context of a conference, a ""Conference Paper"" refers to a scholarly paper that is presented by an author or authors at a professional conference. These papers are typically subject to a peer-review process before being accepted for presentation. The content of a conference paper usually includes original research, findings, or advancements in a specific field of study. After presentation, the paper may be published in the conference proceedings, which is a collection of all the papers presented at the conference.","Sure, here are the triples verbalized into phrases:

1. ""Conference_Paper"" is a subclass of ""Paper"".
2. ""Conference_Paper"" is disjoint with ""Workshop_Paper"".
3. ""Workshop_Paper"" is disjoint with ""Conference_Paper""."
http://ekaw#Conference_Participant,Source,Class,conference participant,"In the context of a conference, a ""Conference_Participant"" refers to an individual who attends and takes part in the conference. This can include a variety of roles such as speakers, presenters, panelists, attendees, and delegates. These participants engage in various activities such as listening to presentations, participating in discussions, networking with other attendees, and contributing to the overall objectives of the conference.","Sure, here are the triples verbalised into phrases:

1. ""Demo_Chair"" is a subclass of ""Conference_Participant"".
2. ""Early-Registered_Participant"" is a subclass of ""Conference_Participant"".
3. ""Late-Registered_Participant"" is a subclass of ""Conference_Participant"".
4. ""OC_Member"" is a subclass of ""Conference_Participant"".
5. ""PC_Chair"" is a subclass of ""Conference_Participant"".
6. ""Presenter"" is a subclass of ""Conference_Participant"".
7. ""Session_Chair"" is a subclass of ""Conference_Participant"".
8. ""Tutorial_Chair"" is a subclass of ""Conference_Participant"".
9. ""Workshop_Chair"" is a subclass of ""Conference_Participant"".
10. ""Conference_Participant"" is a subclass of ""Person""."
