Entity1,Entity2
http://ekaw#Abstract,http://sigkdd#Abstract
http://ekaw#Conference,http://sigkdd#Conference
http://ekaw#Document,http://sigkdd#Document
http://ekaw#Invited_Speaker,http://sigkdd#Invited_Speaker
http://ekaw#OC_Member,http://sigkdd#Organizing_Committee_member
http://ekaw#PC_Chair,http://sigkdd#Program_Chair
http://ekaw#PC_Member,http://sigkdd#Program_Committee_member
http://ekaw#Paper,http://sigkdd#Paper
http://ekaw#Paper_Author,http://sigkdd#Author_of_paper
http://ekaw#Person,http://sigkdd#Person
http://ekaw#Review,http://sigkdd#Review
http://ekaw#locationOf,http://sigkdd#City_of_conference
