Entity1,Entity2
http://ekaw#Abstract,http://sigkdd#Abstract
http://ekaw#Accepted_Paper,http://sigkdd#Paper
http://ekaw#Conference,http://sigkdd#Conference
http://ekaw#Conference_Paper,http://sigkdd#Paper
http://ekaw#Conference_Participant,http://sigkdd#Person
http://ekaw#Conference_Proceedings,http://sigkdd#Paper
http://ekaw#Document,http://sigkdd#Document
http://ekaw#Invited_Speaker,http://sigkdd#Invited_Speaker
http://ekaw#Invited_Talk,http://sigkdd#Invited_Speaker
http://ekaw#OC_Member,http://sigkdd#Organizing_Committee_member
http://ekaw#PC_Chair,http://sigkdd#Program_Chair
http://ekaw#PC_Member,http://sigkdd#Program_Committee_member
http://ekaw#Paper,http://sigkdd#Paper
http://ekaw#Paper_Author,http://sigkdd#Author_of_paper
http://ekaw#Person,http://sigkdd#Person
http://ekaw#Possible_Reviewer,http://sigkdd#Person
http://ekaw#Presenter,http://sigkdd#Speaker
http://ekaw#Review,http://sigkdd#Review
http://ekaw#Scientific_Event,http://sigkdd#Conference
http://ekaw#Student,http://sigkdd#Person
http://ekaw#Submitted_Paper,http://sigkdd#Document
http://ekaw#heldIn,http://sigkdd#hold
http://ekaw#locationOf,http://sigkdd#City_of_conference
