Entity2,Entity1
http://sigkdd#Abstract,http://ekaw#Abstract
http://sigkdd#Author,http://ekaw#Paper_Author
http://sigkdd#Author_of_paper,http://ekaw#Paper_Author
http://sigkdd#Conference,http://ekaw#Conference
http://sigkdd#Document,http://ekaw#Document
http://sigkdd#Invited_Speaker,http://ekaw#Invited_Speaker
http://sigkdd#Organizing_Committee_member,http://ekaw#OC_Member
http://sigkdd#Paper,http://ekaw#Paper
http://sigkdd#Person,http://ekaw#Person
http://sigkdd#Program_Chair,http://ekaw#PC_Chair
http://sigkdd#Program_Committee,http://ekaw#PC_Member
http://sigkdd#Program_Committee_member,http://ekaw#PC_Member
http://sigkdd#Review,http://ekaw#Review
http://sigkdd#Speaker,http://ekaw#Person
http://sigkdd#City_of_conference,http://ekaw#locationOf
