Entity1,Entity2
http://ekaw#Abstract,http://sigkdd#Abstract
http://ekaw#Conference,http://sigkdd#Conference
http://ekaw#Document,http://sigkdd#Document
http://ekaw#Invited_Speaker,http://sigkdd#Invited_Speaker
http://ekaw#Location,http://sigkdd#Place
http://ekaw#OC_Member,http://sigkdd#Organizing_Committee_member
http://ekaw#PC_Chair,http://sigkdd#Program_Chair
http://ekaw#Paper,http://sigkdd#Paper
http://ekaw#Paper_Author,http://sigkdd#Author
http://ekaw#Person,http://sigkdd#Person
http://ekaw#Review,http://sigkdd#Review
