entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://iasted#Accepting_manuscript,Source,Class,accepting manuscript,"In the context of a conference, ""Accepting_manuscript"" refers to the stage where the conference organizers or review committee have reviewed a submitted manuscript and decided to accept it for presentation at the conference. This means that the paper has met the necessary standards and criteria set by the conference and will be included in the conference proceedings or program.","The class ""Accepting_manuscript"" is a subclass of the class ""Activity_before_conference""."
http://iasted#Activity,Source,Class,activity,"In the context of a conference, ""activity"" refers to any organized event or session that is part of the conference agenda. This can include presentations, workshops, panel discussions, networking sessions, breakout groups, and social events. These activities are designed to engage participants, facilitate learning, foster networking, and achieve the overall objectives of the conference.","1. ""Activity_after_conference"" is a subclass of ""Activity"".
2. ""Activity_before_conference"" is a subclass of ""Activity"".
3. ""Conference_activity"" is a subclass of ""Activity"".
4. The property ""go_through"" has a range of ""Activity"".
5. The property ""is_dated_on"" has a domain of ""Activity"".
6. The property ""is_held_after"" has a domain of ""Activity"".
7. The property ""is_held_before"" has a domain of ""Activity"".
8. The property ""is_held_in"" has a domain of ""Activity""."
http://iasted#Activity_after_conference,Source,Class,activity after conference,"In the context of a conference, ""Activity_after_conference"" refers to any planned events, gatherings, or actions that take place following the conclusion of the main conference sessions. These activities can include networking events, social gatherings, workshops, follow-up meetings, or informal discussions among participants. The purpose of these activities is often to continue the exchange of ideas, foster professional relationships, and provide additional opportunities for learning and collaboration.","Sure, here are the triples verbalised into phrases:

1. ""Departure"" is a subclass of ""Activity after conference"".
2. ""Full day tour"" is a subclass of ""Activity after conference"".
3. ""Activity after conference"" is a subclass of ""Activity""."
http://iasted#Activity_before_conference,Source,Class,activity before conference,"In the context of a conference, ""Activity_before_conference"" refers to any planned events, tasks, or engagements that take place prior to the official start of the conference. These activities can include pre-conference workshops, networking sessions, registration processes, setup and preparation by organizers, or any other events designed to prepare attendees and participants for the main conference proceedings.","Sure, here are the triples verbalised into phrases:

1. ""Accepting manuscript"" is a subclass of ""Activity before conference"".
2. ""Receiving manuscript"" is a subclass of ""Activity before conference"".
3. ""Refusing manuscript"" is a subclass of ""Activity before conference"".
4. ""Renting"" is a subclass of ""Activity before conference"".
5. ""Research"" is a subclass of ""Activity before conference"".
6. ""Activity before conference"" is a subclass of ""Activity""."
http://iasted#Audiovisual_equipment,Source,Class,audiovisual equipment,"In the context of a conference, ""audiovisual equipment"" refers to the various electronic devices and tools used to enhance presentations and communication. This includes items such as projectors, microphones, speakers, video cameras, screens, and any other technology that helps in displaying visual content and amplifying sound. These tools are essential for effectively delivering presentations, facilitating discussions, and ensuring that all attendees can see and hear the information being shared.","1. A computer is a subclass of audiovisual equipment.
2. An LCD projector is a subclass of audiovisual equipment.
3. An overhead projector is a subclass of audiovisual equipment.
4. A video cassette player is a subclass of audiovisual equipment.
5. Audiovisual equipment is a subclass of an item."
http://iasted#Author,Source,Class,author,"In the context of a conference, an ""author"" typically refers to an individual who has written a paper, article, or study that is being presented or discussed at the event. This person is responsible for the research and content of the work and is often the one who presents their findings to the conference attendees.","1. ""Author_book_proceedings_included"" is a subclass of ""Author"".
2. ""Author_cd_proceedings_included"" is a subclass of ""Author"".
3. ""Lecturer"" is a subclass of ""Author"".
4. ""Plenary_lecture_speaker"" is a subclass of ""Author"".
5. ""Tutorial_speaker"" is a subclass of ""Author"".
6. ""Author"" is a subclass of ""Speaker""."
http://iasted#Author_attendee_book_registration_fee,Source,Class,author attendee book registration fee,"In the context of a conference, ""Author_attendee_book_registration_fee"" refers to the fee that an author, who is also attending the conference, must pay to register for the event. This fee typically covers the cost of participation, access to sessions, and possibly other conference materials or activities. It is specifically designated for individuals who are both presenting their work (authors) and participating in the conference as attendees.","The class ""Author_attendee_book_registration_fee"" is a subclass of the class ""Registration_fee""."
http://iasted#Author_attendee_cd_registration_fee,Source,Class,author attendee cd registration fee,"In the context of a conference, ""Author_attendee_cd_registration_fee"" likely refers to the registration fee that an author, who is also an attendee, needs to pay to participate in the conference. The ""cd"" could be an abbreviation for ""conference"" or ""conference delegate,"" indicating that this fee is specific to authors attending the conference.","The class ""Author_attendee_cd_registration_fee"" is a subclass of the class ""Registration_fee""."
http://iasted#Author_book_proceedings_included,Source,Class,author book proceedings included,"In the context of a conference, ""Author_book_proceedings_included"" typically means that the author of a paper or presentation has their work included in the official conference proceedings. Conference proceedings are a collection of academic papers or presentations that were presented at the conference. These proceedings are often published as a book or a digital compilation, and having one's work included signifies that it has been peer-reviewed and accepted as part of the conference's official record.","The class ""Author_book_proceedings_included"" is a subclass of the class ""Author""."
http://iasted#Author_cd_proceedings_included,Source,Class,author cd proceedings included,"In the context of a conference, ""Author_cd_proceedings_included"" typically means that the author has contributed to the conference proceedings, and their work is included in the official collection of papers, presentations, or abstracts that are published as part of the conference documentation. This often signifies that the author's submission has been accepted and is part of the formal record of the conference.","The class ""Author_cd_proceedings_included"" is a subclass of the class ""Author""."
http://iasted#Author_information_form,Source,Class,author information form,"In the context of a conference, an ""Author Information Form"" is a document or online form that authors of papers or presentations are required to fill out. This form typically collects essential details about the authors, such as their names, affiliations, contact information, and sometimes a brief biography. The information gathered is used for conference materials, such as the program, proceedings, and name badges, and to facilitate communication between the conference organizers and the authors.","The class ""Author_information_form"" is a subclass of the class ""Form""."
http://iasted#Bank_transfer,Source,Class,bank transfer,"In the context of a conference, a ""bank transfer"" refers to the process of electronically transferring funds from one bank account to another. This method is often used for paying conference fees, registration costs, or other related expenses. Attendees or sponsors might use a bank transfer to ensure that payments are securely and efficiently made to the conference organizers.","The class ""Bank_transfer"" is a subclass of the class ""Payment_document""."
http://iasted#Book_proceeding,Source,Class,book proceeding,"In the context of a conference, ""book_proceeding"" refers to a collection of academic papers or presentations that were presented at the conference. These proceedings are typically compiled into a book or digital format and published as a record of the event. They serve as a formal documentation of the research and discussions that took place during the conference, allowing attendees and others to reference the work presented.","The class ""Book_proceeding"" is a subclass of the class ""Publication""."
http://iasted#Brief_introduction_for_Session_chair,Source,Class,brief introduction for session chair,"In the context of a conference, a ""Brief introduction for Session Chair"" refers to a concise summary or overview provided to the person who will be chairing a particular session. This introduction typically includes key information about the session's theme, the speakers, their topics, and any relevant background details. The purpose is to equip the Session Chair with the necessary information to effectively manage the session, introduce the speakers, and facilitate discussions.","The class ""Brief introduction for Session chair"" is a subclass of the class ""Document""."
http://iasted#Building,Source,Class,building,"In the context of a conference, ""building"" typically refers to the process of creating or fostering something, such as relationships, knowledge, or networks. It can involve activities and sessions designed to help attendees connect with each other, share information, and collaborate on ideas or projects. For example, a conference might include team-building exercises, workshops aimed at skill-building, or networking events to build professional connections.","Sure, here are the triples verbalised into phrases:

1. ""Conference_airport"" is a subclass of ""Building"".
2. ""Conference_building"" is a subclass of ""Building"".
3. ""Conference_hotel"" is a subclass of ""Building"".
4. ""Conference_restaurant"" is a subclass of ""Building"".
5. ""Presenter_house"" is a subclass of ""Building"".
6. ""Presenter_university"" is a subclass of ""Building"".
7. ""Sponsor_company_house"" is a subclass of ""Building"".
8. The range of ""is_paid_in"" is ""Building"".
9. ""Building"" is a subclass of ""Place""."
http://iasted#Camera_ready_manuscript_deadline,Source,Class,camera ready manuscript deadline,"In the context of a conference, the term ""Camera-ready manuscript deadline"" refers to the final date by which authors must submit the final version of their papers or manuscripts. This version should be fully formatted and ready for publication, incorporating any revisions or corrections suggested during the review process. The term ""camera-ready"" implies that the manuscript is in its final form and can be directly used for printing or digital distribution in the conference proceedings.","The class ""Camera_ready_manuscript_deadline"" is a subclass of the class ""Deadline""."
http://iasted#Car,Source,Class,car,"In the context of a conference, ""Car"" could refer to a few different things depending on the specific context within the conference. It might refer to:

1. **Transportation**: How attendees are getting to and from the conference venue, including parking arrangements, carpooling options, or shuttle services.
2. **Exhibits or Demonstrations**: If the conference is related to the automotive industry, ""Car"" could refer to vehicles being showcased or demonstrated.
3. **Logistics**: The use of cars for transporting equipment, materials, or speakers to the conference location.

Without additional context, it's challenging to pinpoint the exact meaning, but these are some plausible interpretations within a conference setting.","The class ""Car"" is a subclass of the class ""Transport vehicle""."
http://iasted#Card,Source,Class,card,"In the context of a conference, a ""card"" typically refers to a business card. This is a small card bearing one's name, professional title, company, and contact information, which is exchanged during networking opportunities to facilitate future communication and professional connections.","Sure, here are the triples verbalized into phrases:

1. ""Credit_card"" is a subclass of ""Card"".
2. ""Card"" is a subclass of ""Item""."
http://iasted#Cd_proceening,Source,Class,cd proceening,"In the context of a conference, ""Cd_proceening"" likely refers to ""CD proceedings."" This term typically means the collection of papers, presentations, or other materials from the conference that are compiled and distributed on a CD (compact disc). These proceedings serve as a record of the conference and provide attendees with access to the content presented during the event.","The class ""Cd_proceening"" is a subclass of the class ""Publication""."
http://iasted#Cheque,Source,Class,cheek,"In the context of a conference, a cheque refers to a written, dated, and signed instrument that directs a bank to pay a specific sum of money to the bearer or to a designated person. It is often used for transactions such as paying for conference fees, speaker honorariums, or other related expenses.","The class ""Cheque"" is a subclass of the class ""Payment_document""."
http://iasted#City,Source,Class,city,"In the context of a conference, ""City"" typically refers to the specific urban location where the conference is being held. It denotes the geographical setting and can be important for logistical planning, travel arrangements, and understanding the local culture and amenities available to conference attendees.","1. ""Conference_city"" is a subclass of ""City"".
2. ""Presenter_city"" is a subclass of ""City"".
3. ""Sponsor_city"" is a subclass of ""City"".
4. ""Trip_city"" is a subclass of ""City""."
http://iasted#Coctail_reception,Source,Class,coctail reception,"In the context of a conference, a ""cocktail reception"" refers to a social event where attendees gather to enjoy drinks, light refreshments, and informal conversation. This type of reception typically takes place in the evening and provides an opportunity for networking, socializing, and unwinding after the day's formal sessions. It is often held in a relaxed setting, such as a hotel lounge or conference center, and may include a variety of alcoholic and non-alcoholic beverages, as well as hors d'oeuvres.","The class ""Coctail_reception"" is a subclass of the class ""Conference_activity""."
http://iasted#Coffee_break,Source,Class,coffee break,"In the context of a conference, a ""coffee break"" refers to a scheduled pause in the event where attendees can take a short break to relax, network, and enjoy refreshments such as coffee, tea, and light snacks. This break provides an opportunity for participants to recharge, socialize with other attendees, and discuss the conference topics in a more informal setting.","The class ""Coffee break"" is a subclass of the class ""Conference activity""."
http://iasted#Computer,Source,Class,computer,"In the context of a conference, a ""computer"" typically refers to an electronic device that processes data according to a set of instructions or programs. It is used for various tasks such as creating presentations, conducting virtual meetings, managing schedules, and facilitating communication among participants. Computers at conferences often help in organizing and disseminating information efficiently, enabling smooth operation and interaction among attendees.","The class ""Computer"" is a subclass of the class ""Audiovisual equipment""."
http://iasted#Conference_Hiker,Source,Class,conference hiker,"In the context of a conference, ""Conference_Hiker"" likely refers to an attendee who is actively exploring and participating in various sessions, workshops, and events throughout the conference. Just as a hiker traverses different trails and landscapes, a ""Conference_Hiker"" navigates through the different offerings of the conference, seeking knowledge, networking opportunities, and experiences.","The class ""Conference_Hiker"" is a subclass of ""Delegate""."
http://iasted#Conference_activity,Source,Class,conference activity,"In the context of a conference, ""conference_activity"" refers to the various events, sessions, and interactions that take place during the conference. This can include keynote speeches, panel discussions, workshops, networking sessions, poster presentations, and social events. These activities are designed to facilitate knowledge sharing, professional development, and networking among the participants.","Sure, here are the triples verbalised into phrases:

1. ""Coctail reception"" is a subclass of ""Conference activity"".
2. ""Coffee break"" is a subclass of ""Conference activity"".
3. ""Introduction"" is a subclass of ""Conference activity"".
4. ""Lecture"" is a subclass of ""Conference activity"".
5. ""Presentation"" is a subclass of ""Conference activity"".
6. ""Registration"" is a subclass of ""Conference activity"".
7. ""Social program"" is a subclass of ""Conference activity"".
8. ""Technical activity"" is a subclass of ""Conference activity"".
9. ""Welcome address"" is a subclass of ""Conference activity"".
10. ""Conference activity"" is a subclass of ""Activity""."
http://iasted#Conference_airport,Source,Class,conference airport,"In the context of a conference, a ""conference airport"" typically refers to an airport that is conveniently located near a conference venue or is frequently used by attendees traveling to and from conferences. These airports often have facilities and services that cater to business travelers, such as meeting rooms, business lounges, and efficient transportation links to conference centers and hotels.","The class ""Conference_airport"" is a subclass of the class ""Building""."
http://iasted#Conference_building,Source,Class,conference building,"In the context of a conference, a ""conference building"" refers to a structure or facility specifically designed or designated to host conferences, meetings, seminars, and other similar gatherings. These buildings typically include various amenities such as meeting rooms, auditoriums, breakout rooms, and sometimes even accommodations and dining facilities to support the needs of conference attendees.","The class ""Conference_building"" is a subclass of the class ""Building""."
http://iasted#Conference_city,Source,Class,conference city,"In the context of a conference, ""Conference_city"" refers to the city where the conference is being held. It is the location where participants will gather for the event.","The class ""Conference_city"" is a subclass of the class ""City""."
