Entity2,Entity1
http://sigkdd#Author,http://iasted#Author
http://sigkdd#Author_of_paper,http://iasted#Author
http://sigkdd#Conference_hall,http://iasted#Conference_hall
http://sigkdd#Deadline,http://iasted#Deadline
http://sigkdd#Deadline_Author_notification,http://iasted#Deadline_for_notification_of_acceptance
http://sigkdd#Deadline_Paper_Submission,http://iasted#Submissions_deadline
http://sigkdd#Document,http://iasted#Document
http://sigkdd#Fee,http://iasted#Fee
http://sigkdd#Gold_Supporter,http://iasted#Sponsor
http://sigkdd#Listener,http://iasted#Listener
http://sigkdd#Main_office,http://iasted#Main_office
http://sigkdd#Person,http://iasted#Person
http://sigkdd#Place,http://iasted#Place
http://sigkdd#Program_Committee_member,http://iasted#Technical_commitee
http://sigkdd#Registration_Non-Member,http://iasted#Nonmember_registration_fee
http://sigkdd#Registration_fee,http://iasted#Registration_fee
http://sigkdd#Review,http://iasted#Review
http://sigkdd#Speaker,http://iasted#Speaker
http://sigkdd#obtain,http://iasted#obtain
http://sigkdd#pay,http://iasted#pay
