Entity1,Entity2
http://iasted#Author,http://sigkdd#Author
http://iasted#Conference_hall,http://sigkdd#Conference_hall
http://iasted#Deadline,http://sigkdd#Deadline
http://iasted#Deadline_for_notification_of_acceptance,http://sigkdd#Deadline_Author_notification
http://iasted#Fee,http://sigkdd#Fee
http://iasted#Listener,http://sigkdd#Listener
http://iasted#Main_office,http://sigkdd#Main_office
http://iasted#Nonmember_registration_fee,http://sigkdd#Registration_Non-Member
http://iasted#Person,http://sigkdd#Person
http://iasted#Place,http://sigkdd#Place
http://iasted#Registration_fee,http://sigkdd#Registration_fee
http://iasted#Review,http://sigkdd#Review
http://iasted#Speaker,http://sigkdd#Speaker
http://iasted#Sponsor,http://sigkdd#Sponzor
http://iasted#Student_registration_fee,http://sigkdd#Registration_Student
