entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://codata.jp/OML-MaterialInformation#AISI1000SeriesSteel,Source,Class,ais i1000 series steel,"In materials science, ""AISI 1000 Series Steel"" refers to a classification of carbon steels defined by the American Iron and Steel Institute (AISI). The 1000 series specifically denotes plain carbon steels, which are primarily composed of iron and carbon, with minimal amounts of other alloying elements. The first digit '1' indicates that it is a carbon steel, and the subsequent digits (e.g., 010, 020, 030, etc.) represent the approximate carbon content in hundredths of a percent. For example, AISI 1045 steel contains approximately 0.45% carbon. These steels are widely used in various applications due to their good balance of strength, ductility, and cost-effectiveness.","The class ""AISI1000SeriesSteel"" is a subclass of the class ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI4000SeriesSteel,Source,Class,ais i4000 series steel,"In materials science, the term ""AISI 4000 Series Steel"" refers to a group of alloy steels that are designated by the American Iron and Steel Institute (AISI). The 4000 series steels are characterized by the inclusion of molybdenum as a significant alloying element, along with other elements such as chromium, manganese, and sometimes nickel. These steels are known for their high strength, toughness, and wear resistance, making them suitable for applications that require durability and resistance to mechanical stress.

The specific composition and properties can vary within the 4000 series, but common examples include:

- **AISI 4140**: A chromium-molybdenum alloy steel known for its good balance of strength, toughness, and wear resistance. It is often used in the manufacturing of gears, shafts, and other high-stress components.
- **AISI 4340**: A nickel-chromium-molybdenum alloy steel that offers even higher strength and toughness compared to 4140, making it suitable for highly stressed parts such as aircraft landing gear and heavy-duty axles.

The ""4000 series"" designation helps in identifying the general characteristics and alloying elements of the steel, aiding in material selection for engineering and industrial applications.","The class ""AISI4000SeriesSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI5000SeriesSteel,Source,Class,ais i5000 series steel,"In materials science, the term ""AISI 5000 Series Steel"" refers to a group of alloy steels that are designated by the American Iron and Steel Institute (AISI). The 5000 series specifically indicates that these steels are alloyed primarily with chromium and manganese. These elements are added to improve the steel's hardness, strength, and resistance to wear and corrosion. The exact composition and properties can vary within the series, but the common characteristic is the presence of these alloying elements.","The class ""AISI5000SeriesSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI6000SeriesSteel,Source,Class,ais i6000 series steel,"In materials science, ""AISI 6000 Series Steel"" refers to a classification of steel according to the American Iron and Steel Institute (AISI) standards. The ""6000 series"" specifically denotes a group of alloy steels that are typically characterized by the presence of silicon and manganese as the primary alloying elements. These steels are known for their good combination of strength, toughness, and wear resistance, making them suitable for various industrial applications, including machinery parts, automotive components, and structural elements. The exact composition and properties can vary within the series, but the general characteristics remain consistent with the AISI classification.","The class ""AISI6000SeriesSteel"" is a subclass of the class ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI8000SeriesSteel,Source,Class,ais i8000 series steel,"In materials science, ""AISI 8000 Series Steel"" refers to a classification of steel alloys designated by the American Iron and Steel Institute (AISI). The ""8000 series"" indicates a specific group of alloy steels that typically contain various combinations of elements to achieve desired mechanical properties and performance characteristics. These steels are often used in specialized applications where particular strength, toughness, or resistance to wear and corrosion is required. The exact composition and properties can vary within the series, but the designation helps in identifying and standardizing the types of steel for industrial and engineering purposes.","The class ""AISI8000SeriesSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AISI9000SeriesSteel,Source,Class,ais i9000 series steel,"In materials science, the term ""AISI 9000 Series Steel"" refers to a classification of steel alloys designated by the American Iron and Steel Institute (AISI). The ""9000 series"" indicates a specific group of alloy steels that are characterized by their unique chemical compositions and properties. These steels are typically used in specialized applications where particular mechanical properties, such as strength, toughness, or resistance to wear and corrosion, are required. The exact composition and properties of a specific 9000 series steel would depend on the particular alloy and its intended use.","The class ""AISI9000SeriesSteel"" is a subclass of the class ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#ASTMSteel,Source,Class,astm steel,"In the context of materials science, ""ASTM Steel"" refers to steel that meets the standards set by ASTM International, formerly known as the American Society for Testing and Materials. ASTM International is an organization that develops and publishes technical standards for a wide range of materials, products, systems, and services. When steel is designated as ""ASTM Steel,"" it means that the steel has been tested and certified to meet specific criteria for properties such as chemical composition, mechanical properties, and performance characteristics as defined in ASTM standards. These standards ensure consistency, quality, and reliability in the steel used for various applications.","""ASTMSteel"" is a subclass of ""FerrousAlloy""."
http://codata.jp/OML-MaterialInformation#AbsorbedDoseRate,Source,Class,absorbed dose rate,"In materials science, the term ""Absorbed Dose Rate"" refers to the amount of radiation energy absorbed per unit mass of a material per unit time. It is typically measured in units such as grays per second (Gy/s) or rads per hour (rad/h). This parameter is crucial for understanding the effects of radiation on materials, as it helps in assessing the rate at which energy is being deposited into the material, which can influence its structural integrity, chemical properties, and overall performance.","The class ""AbsorbedDoseRate"" is a subclass of the class ""Compound""."
http://codata.jp/OML-MaterialInformation#Ac,Source,Class,ac,"In the context of materials science, ""Ac"" typically refers to ""Austenite critical temperature."" This is the temperature at which austenite begins to form during the heating of a steel or iron alloy. Austenite is a solid solution of iron and carbon that is stable at high temperatures. The critical temperatures are often denoted as Ac1, Ac2, and Ac3, which correspond to different phase transformations in the material. For example, Ac1 is the temperature at which pearlite or ferrite begins to transform into austenite upon heating.","The class ""Ac"" is a subclass of the class ""Atom""."
http://codata.jp/OML-MaterialInformation#Acceleration,Source,Class,acceleration,"In the context of materials science, ""acceleration"" typically refers to the rate at which a material's properties or behaviors change over time under certain conditions. This can include the acceleration of degradation processes, such as corrosion or wear, the rate of phase transformations, or the speed at which a material responds to external stimuli like stress, temperature, or electromagnetic fields. Understanding acceleration in these contexts is crucial for predicting material performance, longevity, and reliability in various applications.","The class ""Acceleration"" is a subclass of the class ""Compound""."
