Entity1,Entity2
http://codata.jp/OML-MaterialInformation#Acceleration,http://emmo.info/emmo/middle/isq#EMMO_e37ac288_aa60_415a_8cb7_c375724ac8e1
http://codata.jp/OML-MaterialInformation#AmountOfSubstance,http://emmo.info/emmo/middle/isq#EMMO_8159c26a_494b_4fa0_9959_10888f152298
http://codata.jp/OML-MaterialInformation#Area,http://emmo.info/emmo/middle/isq#EMMO_96f39f77_44dc_491b_8fa7_30d887fe0890
http://codata.jp/OML-MaterialInformation#Atom,http://emmo.info/emmo/middle/materials#EMMO_eb77076b_a104_42ac_a065_798b2d2809ad
http://codata.jp/OML-MaterialInformation#CGS_units,http://emmo.info/emmo/middle/units-extension#EMMO_52e4cb25_da39_45e2_a6db_063ec5730499
http://codata.jp/OML-MaterialInformation#CurrentDensity,http://emmo.info/emmo/middle/isq#EMMO_7c8007b0_58a7_4486_bf1c_4772852caca0
http://codata.jp/OML-MaterialInformation#Density,http://emmo.info/emmo/middle/isq#EMMO_06448f64_8db6_4304_8b2c_e785dba82044
http://codata.jp/OML-MaterialInformation#ElectricCapacitance,http://emmo.info/emmo/middle/isq#EMMO_99dba333_0dbd_4f75_8841_8c0f97fd58e2
http://codata.jp/OML-MaterialInformation#ElectricCharge,http://emmo.info/emmo/middle/isq#EMMO_1604f495_328a_4f28_9962_f4cc210739dd
http://codata.jp/OML-MaterialInformation#ElectricConductance,http://emmo.info/emmo/middle/isq#EMMO_ffb73b1e_5786_43e4_a964_cb32ac7affb7
http://codata.jp/OML-MaterialInformation#ElectricConstant,http://emmo.info/emmo/middle/isq#EMMO_61a32ae9_8200_473a_bd55_59a9899996f4
http://codata.jp/OML-MaterialInformation#ElectricCurrent,http://emmo.info/emmo/middle/isq#EMMO_c995ae70_3b84_4ebb_bcfc_69e6a281bb88
http://codata.jp/OML-MaterialInformation#ElectricInductance,http://emmo.info/emmo/middle/isq#EMMO_04cc9451_5306_45d0_8554_22cee4d6e785
http://codata.jp/OML-MaterialInformation#ElectricPotential,http://emmo.info/emmo/middle/isq#EMMO_4f2d3939_91b1_4001_b8ab_7d19074bf845
http://codata.jp/OML-MaterialInformation#ElectricResistance,http://emmo.info/emmo/middle/isq#EMMO_e88f75d6_9a17_4cfc_bdf7_43d7cea5a9a1
