Entity2,Entity1
http://emmo.info/emmo/middle/isq#EMMO_04cc9451_5306_45d0_8554_22cee4d6e785,http://codata.jp/OML-MaterialInformation#ElectricInductance
http://emmo.info/emmo/middle/isq#EMMO_04cf0295_3e8f_4693_a87f_3130d125cf05,http://codata.jp/OML-MaterialInformation#Force
http://emmo.info/emmo/middle/isq#EMMO_06448f64_8db6_4304_8b2c_e785dba82044,http://codata.jp/OML-MaterialInformation#Density
http://emmo.info/emmo/middle/isq#EMMO_09663630_1b84_4202_91e6_e641104f579e,http://codata.jp/OML-MaterialInformation#Permeability
http://emmo.info/emmo/middle/isq#EMMO_09b9021b_f97b_43eb_b83d_0a764b472bc2,http://codata.jp/OML-MaterialInformation#Power
http://emmo.info/emmo/middle/isq#EMMO_0ee5779e_d798_4ee5_9bfe_c392d5bea112,http://codata.jp/OML-MaterialInformation#Permittivity
http://emmo.info/emmo/middle/isq#EMMO_12d4ba9b_2f89_4ea3_b206_cd376f96c875,http://codata.jp/OML-MaterialInformation#Energy
http://emmo.info/emmo/middle/isq#EMMO_1604f495_328a_4f28_9962_f4cc210739dd,http://codata.jp/OML-MaterialInformation#ElectricCharge
http://emmo.info/emmo/middle/isq#EMMO_1c2226a9_22f0_40c8_8928_5a01d398f96e,http://codata.jp/OML-MaterialInformation#MagneticMoment
http://emmo.info/emmo/middle/isq#EMMO_1f087811_06cb_42d5_90fb_25d0e7e068ef,http://codata.jp/OML-MaterialInformation#Force
http://emmo.info/emmo/middle/isq#EMMO_2e7e5796_4a80_4d73_bb84_f31138446c0c,http://codata.jp/OML-MaterialInformation#ElectricPotentialDifference
http://emmo.info/emmo/middle/isq#EMMO_31ec09ba_1713_42cb_83c7_b38bf6f9ced2,http://codata.jp/OML-MaterialInformation#Energy
http://emmo.info/emmo/middle/isq#EMMO_3b931698_937e_49be_ab1b_36fa52d91181,http://codata.jp/OML-MaterialInformation#MagneticFlux
http://emmo.info/emmo/middle/isq#EMMO_43776fc9_d712_4571_85f0_72183678039a,http://codata.jp/OML-MaterialInformation#Momentum
http://emmo.info/emmo/middle/isq#EMMO_4c151909_6f26_4ef9_b43d_7c9e9514883a,http://codata.jp/OML-MaterialInformation#Energy
http://emmo.info/emmo/middle/isq#EMMO_4f2d3939_91b1_4001_b8ab_7d19074bf845,http://codata.jp/OML-MaterialInformation#ElectricPotential
http://emmo.info/emmo/middle/isq#EMMO_50a44256_9dc5_434b_bad4_74a4d9a29989,http://codata.jp/OML-MaterialInformation#Pressure
http://emmo.info/emmo/middle/isq#EMMO_50bf79a6_a48b_424d_9d2c_813bd631231a,http://codata.jp/OML-MaterialInformation#LuminousIntensity
http://emmo.info/emmo/middle/isq#EMMO_5eedba4d_105b_44d8_b1bc_e33606276ea2,http://codata.jp/OML-MaterialInformation#RefractiveIndex
http://emmo.info/emmo/middle/isq#EMMO_61a32ae9_8200_473a_bd55_59a9899996f4,http://codata.jp/OML-MaterialInformation#ElectricConstant
http://emmo.info/emmo/middle/isq#EMMO_624d72ee_e676_4470_9434_c22b4190d3d5,http://codata.jp/OML-MaterialInformation#Energy
http://emmo.info/emmo/middle/isq#EMMO_76cc4efc_231e_42b4_be83_2547681caed6,http://codata.jp/OML-MaterialInformation#PlanckConstant
http://emmo.info/emmo/middle/isq#EMMO_7c8007b0_58a7_4486_bf1c_4772852caca0,http://codata.jp/OML-MaterialInformation#CurrentDensity
http://emmo.info/emmo/middle/isq#EMMO_81369540_1b0e_471b_9bae_6801af22800e,http://codata.jp/OML-MaterialInformation#Speed
http://emmo.info/emmo/middle/isq#EMMO_8159c26a_494b_4fa0_9959_10888f152298,http://codata.jp/OML-MaterialInformation#AmountOfSubstance
http://emmo.info/emmo/middle/isq#EMMO_81e767f1_59b1_4d7a_bf69_17f322241831,http://codata.jp/OML-MaterialInformation#MagneticMoment
http://emmo.info/emmo/middle/isq#EMMO_830b59f7_d047_438c_90cd_62845749efcb,http://codata.jp/OML-MaterialInformation#U
http://emmo.info/emmo/middle/isq#EMMO_852b4ab8_fc29_4749_a8c7_b92d4fca7d5a,http://codata.jp/OML-MaterialInformation#Frequency
http://emmo.info/emmo/middle/isq#EMMO_961d1aba_f75e_4411_aaa4_457f7516ed6b,http://codata.jp/OML-MaterialInformation#MagneticFluxDensity
http://emmo.info/emmo/middle/isq#EMMO_96f39f77_44dc_491b_8fa7_30d887fe0890,http://codata.jp/OML-MaterialInformation#Area
http://emmo.info/emmo/middle/isq#EMMO_97589322_710c_4af4_9431_1e5027f2be42,http://codata.jp/OML-MaterialInformation#Luminance
http://emmo.info/emmo/middle/isq#EMMO_99296e55_53f7_4333_9e06_760ad175a1b9,http://codata.jp/OML-MaterialInformation#SpeedOfLight_in_vacuum
http://emmo.info/emmo/middle/isq#EMMO_99dba333_0dbd_4f75_8841_8c0f97fd58e2,http://codata.jp/OML-MaterialInformation#ElectricCapacitance
http://emmo.info/emmo/middle/isq#EMMO_9bbab0be_f9cc_4f46_9f46_0fd271911b79,http://codata.jp/OML-MaterialInformation#Entropy
http://emmo.info/emmo/middle/isq#EMMO_a77a0a4b_6bd2_42b2_be27_4b63cebbb59e,http://codata.jp/OML-MaterialInformation#ThermodynamicTemperature
http://emmo.info/emmo/middle/isq#EMMO_aaf9dd7f_0474_40d0_9606_02def8515249,http://codata.jp/OML-MaterialInformation#MomentOfForce
http://emmo.info/emmo/middle/isq#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,http://codata.jp/OML-MaterialInformation#ThermodynamicTemperature
http://emmo.info/emmo/middle/isq#EMMO_b3600e73_3e05_479d_9714_c041c3acf5cc,http://codata.jp/OML-MaterialInformation#Length
http://emmo.info/emmo/middle/isq#EMMO_b4895f75_41c8_4fd9_b6d6_4d5f7c99c423,http://codata.jp/OML-MaterialInformation#MagneticFieldStrength
http://emmo.info/emmo/middle/isq#EMMO_b51fbd00_a857_4132_9711_0ef70e7bdd20,http://codata.jp/OML-MaterialInformation#Illuminance
http://emmo.info/emmo/middle/isq#EMMO_c995ae70_3b84_4ebb_bcfc_69e6a281bb88,http://codata.jp/OML-MaterialInformation#ElectricCurrent
http://emmo.info/emmo/middle/isq#EMMO_cc01751d_dd05_429b_9d0c_1b7a74d1f277,http://codata.jp/OML-MaterialInformation#ElectricCharge
http://emmo.info/emmo/middle/isq#EMMO_cd2cd0de_e0cc_4ef1_b27e_2e88db027bac,http://codata.jp/OML-MaterialInformation#Length
http://emmo.info/emmo/middle/isq#EMMO_cde4368c_1d4d_4c94_8548_604749523c6d,http://codata.jp/OML-MaterialInformation#ElectricalConductivity
http://emmo.info/emmo/middle/isq#EMMO_d4f7d378_5e3b_468a_baa1_a7e98358cda7,http://codata.jp/OML-MaterialInformation#Time
http://emmo.info/emmo/middle/isq#EMMO_d5be1faf_0c56_4f5a_9b78_581e6dee949f,http://codata.jp/OML-MaterialInformation#Concentration
http://emmo.info/emmo/middle/isq#EMMO_d859588d_44dc_4614_bc75_5fcd0058acc8,http://codata.jp/OML-MaterialInformation#WaveNumber
http://emmo.info/emmo/middle/isq#EMMO_da831168_975a_41f8_baae_279c298569da,http://codata.jp/OML-MaterialInformation#NewtonianConstantOfGravitation
http://emmo.info/emmo/middle/isq#EMMO_de021e4f_918f_47ef_a67b_11120f56b9d7,http://codata.jp/OML-MaterialInformation#MagneticConstant
http://emmo.info/emmo/middle/isq#EMMO_e150fa8d_06dc_4bb8_bf95_04e2aea529c1,http://codata.jp/OML-MaterialInformation#ElectricalResistivity
http://emmo.info/emmo/middle/isq#EMMO_e2ee1c98_497a_4f66_b4ed_5711496a848e,http://codata.jp/OML-MaterialInformation#LuminousFlux
http://emmo.info/emmo/middle/isq#EMMO_e37ac288_aa60_415a_8cb7_c375724ac8e1,http://codata.jp/OML-MaterialInformation#Acceleration
http://emmo.info/emmo/middle/isq#EMMO_e7c9f7fd_e534_4441_88fe_1fec6cb20f26,http://codata.jp/OML-MaterialInformation#SolidAngle
http://emmo.info/emmo/middle/isq#EMMO_e88f75d6_9a17_4cfc_bdf7_43d7cea5a9a1,http://codata.jp/OML-MaterialInformation#ElectricResistance
http://emmo.info/emmo/middle/isq#EMMO_ed4af7ae_63a2_497e_bb88_2309619ea405,http://codata.jp/OML-MaterialInformation#Mass
http://emmo.info/emmo/middle/isq#EMMO_f1a51559_aa3d_43a0_9327_918039f0dfed,http://codata.jp/OML-MaterialInformation#Volume
http://emmo.info/emmo/middle/isq#EMMO_ffb73b1e_5786_43e4_a964_cb32ac7affb7,http://codata.jp/OML-MaterialInformation#ElectricConductance
http://emmo.info/emmo/middle/materials#EMMO_04f2a2d5_e799_4692_a654_420e76f5acc1,http://codata.jp/OML-MaterialInformation#Gas
http://emmo.info/emmo/middle/materials#EMMO_5be9c137_325a_43d8_b7cd_ea93e7721c2d,http://codata.jp/OML-MaterialInformation#Mixture
http://emmo.info/emmo/middle/materials#EMMO_5e77f00d_5c0a_44e7_baf1_2c2a4cb5b3ae,http://codata.jp/OML-MaterialInformation#SolidSolution
http://emmo.info/emmo/middle/materials#EMMO_7509da43_56b1_4d7f_887a_65d1663df4ba,http://codata.jp/OML-MaterialInformation#Liquid
http://emmo.info/emmo/middle/materials#EMMO_eb77076b_a104_42ac_a065_798b2d2809ad,http://codata.jp/OML-MaterialInformation#Atom
http://emmo.info/emmo/middle/materials#EMMO_ec2c8ac8_98c5_4c74_b85b_ff8e8ca6655c,http://codata.jp/OML-MaterialInformation#Mixture
http://emmo.info/emmo/middle/math#EMMO_e56ee3eb_7609_4ae1_8bed_51974f0960a6,http://codata.jp/OML-MaterialInformation#Equation
http://emmo.info/emmo/middle/metrology#EMMO_02c0621e_a527_4790_8a0f_2bb51973c819,http://codata.jp/OML-MaterialInformation#PhysicalQuantity
http://emmo.info/emmo/middle/metrology#EMMO_b953f2b1_c8d1_4dd9_b630_d3ef6580c2bb,http://codata.jp/OML-MaterialInformation#PhysicalConstant
http://emmo.info/emmo/middle/perceptual#EMMO_64aba1e5_24b7_4140_8eb4_676c35698e79,http://codata.jp/OML-MaterialInformation#C
http://emmo.info/emmo/middle/perceptual#EMMO_86060335_31c2_4820_b433_27c64aea0366,http://codata.jp/OML-MaterialInformation#Torus
http://emmo.info/emmo/middle/perceptual#EMMO_a1083d0a_c1fb_471f_8e20_a98f881ad527,http://codata.jp/OML-MaterialInformation#Symbol
http://emmo.info/emmo/middle/perceptual#EMMO_d7bf784a_db94_4dd9_861c_54f262846fbf,http://codata.jp/OML-MaterialInformation#Sphere
http://emmo.info/emmo/middle/physicalistic#EMMO_3c218fbe_60c9_4597_8bcf_41eb1773af1f,http://codata.jp/OML-MaterialInformation#Vacuum
http://emmo.info/emmo/middle/properties#EMMO_873b0ab3_88e6_4054_b901_5531e01f14a4,http://codata.jp/OML-MaterialInformation#PhysicalQuantity
http://emmo.info/emmo/middle/properties#EMMO_b7bcff25_ffc3_474e_9ab5_01b1664bd4ba,http://codata.jp/OML-MaterialInformation#Property
http://emmo.info/emmo/middle/siunits#EMMO_080052a1_f295_44be_a60f_1326ce13f1ba,http://codata.jp/OML-MaterialInformation#Power
http://emmo.info/emmo/middle/siunits#EMMO_2e5e45fc_f52c_4294_bdc2_5ed7a06dfce7,http://codata.jp/OML-MaterialInformation#Temperature
http://emmo.info/emmo/middle/siunits#EMMO_59c10c5c_47bd_4348_ba39_38836607dfa1,http://codata.jp/OML-MaterialInformation#ElectricResistance
http://emmo.info/emmo/middle/siunits#EMMO_8d00f093_3f45_4ea3_986c_b3545c3c2f4c,http://codata.jp/OML-MaterialInformation#LuminousIntensity
http://emmo.info/emmo/middle/siunits#EMMO_9bfd6f1e_b0ce_459c_beb7_8f1f41708bba,http://codata.jp/OML-MaterialInformation#Mass
http://emmo.info/emmo/middle/siunits#EMMO_a80dc6f5_b1aa_41a7_a3a8_cd5040da2162,http://codata.jp/OML-MaterialInformation#Pa
http://emmo.info/emmo/middle/siunits#EMMO_a9201b2f_e6de_442a_b3a6_d292a5820bc5,http://codata.jp/OML-MaterialInformation#ElectricCapacitance
http://emmo.info/emmo/middle/siunits#EMMO_cf3dd6cc_c5d6_4b3d_aef4_82f3b7a361af,http://codata.jp/OML-MaterialInformation#SolidAngle
http://emmo.info/emmo/middle/siunits#EMMO_d7b7fd1e_645a_42cb_8f40_85f0d034d3ae,http://codata.jp/OML-MaterialInformation#LuminousFlux
http://emmo.info/emmo/middle/siunits#EMMO_da1dd4a7_c611_4ad4_bef6_7646f28aa598,http://codata.jp/OML-MaterialInformation#Illuminance
http://emmo.info/emmo/middle/siunits#EMMO_db5dd38d_ac79_4af6_8782_fee7e7150ae8,http://codata.jp/OML-MaterialInformation#Current
http://emmo.info/emmo/middle/siunits#EMMO_df6eeb01_1b41_4bd8_9257_a04fbd7cf000,http://codata.jp/OML-MaterialInformation#AmountOfSubstance
http://emmo.info/emmo/middle/siunits#EMMO_e2207e91_02b0_4a8a_b13e_61d2a2a839f1,http://codata.jp/OML-MaterialInformation#ElectricPotential
http://emmo.info/emmo/middle/siunits#EMMO_e75f580e_52bf_4dd5_af70_df409cec08fd,http://codata.jp/OML-MaterialInformation#Frequency
http://emmo.info/emmo/middle/siunits#EMMO_f2523820_04a6_44ab_bb67_8237dda2b0c2,http://codata.jp/OML-MaterialInformation#ElectricConductance
http://emmo.info/emmo/middle/siunits#EMMO_fab003c8_f7a6_4346_9988_7161325ed7a3,http://codata.jp/OML-MaterialInformation#ElectricInductance
http://emmo.info/emmo/middle/siunits#EMMO_feb03a8a_bbb6_4918_a891_46713ef557f4,http://codata.jp/OML-MaterialInformation#SI_units
