Entity1,Entity2
http://codata.jp/OML-MaterialInformation#AbsorbedDoseRate,http://ontology.dumontierlab.com/AbsorbedDoseRate
http://codata.jp/OML-MaterialInformation#Acceleration,http://ontology.dumontierlab.com/Acceleration
http://codata.jp/OML-MaterialInformation#Ag,http://ontology.dumontierlab.com/Silver
http://codata.jp/OML-MaterialInformation#Al,http://ontology.dumontierlab.com/Aluminium
http://codata.jp/OML-MaterialInformation#Alloy,http://matonto.org/ontologies/matonto#Alloy
http://codata.jp/OML-MaterialInformation#AmorphousMetal,http://matonto.org/ontologies/matonto#Glasses
http://codata.jp/OML-MaterialInformation#AmountOfSubstance,http://ontology.dumontierlab.com/AmountOfSubstance
http://codata.jp/OML-MaterialInformation#AngularAcceleration,http://ontology.dumontierlab.com/AngularAcceleration
http://codata.jp/OML-MaterialInformation#AngularSpeed,http://ontology.dumontierlab.com/AngularVelocityUnit
http://codata.jp/OML-MaterialInformation#Ar,http://ontology.dumontierlab.com/Argon
http://codata.jp/OML-MaterialInformation#Area,http://ontology.dumontierlab.com/Area
http://codata.jp/OML-MaterialInformation#Atom,http://ontology.dumontierlab.com/Atom
http://codata.jp/OML-MaterialInformation#Au,http://ontology.dumontierlab.com/Gold
http://codata.jp/OML-MaterialInformation#B,http://ontology.dumontierlab.com/BoronAtom
http://codata.jp/OML-MaterialInformation#Ba,http://ontology.dumontierlab.com/Barium
http://codata.jp/OML-MaterialInformation#Base,http://ontology.dumontierlab.com/Base
http://codata.jp/OML-MaterialInformation#Bh,http://ontology.dumontierlab.com/Bohrium
http://codata.jp/OML-MaterialInformation#Bi,http://ontology.dumontierlab.com/BismuthAtom
http://codata.jp/OML-MaterialInformation#Bk,http://ontology.dumontierlab.com/BerkeliumAtom
http://codata.jp/OML-MaterialInformation#Br,http://ontology.dumontierlab.com/Bromine
http://codata.jp/OML-MaterialInformation#BulkModulus,http://matonto.org/ontologies/matonto#BulkModulus
http://codata.jp/OML-MaterialInformation#Ca,http://ontology.dumontierlab.com/Calcium
http://codata.jp/OML-MaterialInformation#Cd,http://ontology.dumontierlab.com/Cadmium
http://codata.jp/OML-MaterialInformation#Ce,http://ontology.dumontierlab.com/Cerium
http://codata.jp/OML-MaterialInformation#Co,http://ontology.dumontierlab.com/Cobalt
http://codata.jp/OML-MaterialInformation#Compound,http://ontology.dumontierlab.com/Compound
http://codata.jp/OML-MaterialInformation#Concentration,http://ontology.dumontierlab.com/Concentration
http://codata.jp/OML-MaterialInformation#Cr,http://ontology.dumontierlab.com/Chromium
http://codata.jp/OML-MaterialInformation#CriticalTemperatureForMagneticTransition,http://ontology.dumontierlab.com/FerromagneticPhase
http://codata.jp/OML-MaterialInformation#Cs,http://ontology.dumontierlab.com/CaesiumAtom
http://codata.jp/OML-MaterialInformation#Cu,http://ontology.dumontierlab.com/Copper
http://codata.jp/OML-MaterialInformation#Current,http://ontology.dumontierlab.com/ElectricCurrent
http://codata.jp/OML-MaterialInformation#CurrentDensity,http://ontology.dumontierlab.com/ElectricCurrentDensity
http://codata.jp/OML-MaterialInformation#Db,http://ontology.dumontierlab.com/Dubnium
http://codata.jp/OML-MaterialInformation#Density,http://ontology.dumontierlab.com/VolumeDensity
http://codata.jp/OML-MaterialInformation#Dy,http://ontology.dumontierlab.com/DysprosiumAtom
http://codata.jp/OML-MaterialInformation#DynamicViscosity,http://ontology.dumontierlab.com/Viscosity
http://codata.jp/OML-MaterialInformation#ElectricCapacitance,http://ontology.dumontierlab.com/Capacitance
http://codata.jp/OML-MaterialInformation#ElectricCharge,http://ontology.dumontierlab.com/ElectricCharge
http://codata.jp/OML-MaterialInformation#ElectricChargeDensity,http://ontology.dumontierlab.com/ElectricChargeDensity
http://codata.jp/OML-MaterialInformation#ElectricConductance,http://ontology.dumontierlab.com/ElectricConductance
http://codata.jp/OML-MaterialInformation#ElectricCurrent,http://ontology.dumontierlab.com/ElectricCurrent
http://codata.jp/OML-MaterialInformation#ElectricFieldStrength,http://ontology.dumontierlab.com/ElectricFieldStrength
http://codata.jp/OML-MaterialInformation#ElectricFluxDensity,http://ontology.dumontierlab.com/ElectricFluxDensity
http://codata.jp/OML-MaterialInformation#ElectricInductance,http://ontology.dumontierlab.com/Inductance
http://codata.jp/OML-MaterialInformation#ElectricPotentialDifference,http://ontology.dumontierlab.com/PotentialDifferenceUnit
http://codata.jp/OML-MaterialInformation#ElectricResistance,http://ontology.dumontierlab.com/ElectricResistance
http://codata.jp/OML-MaterialInformation#Energy,http://ontology.dumontierlab.com/Energy
http://codata.jp/OML-MaterialInformation#EnergyDensity,http://ontology.dumontierlab.com/EnergyDensity
http://codata.jp/OML-MaterialInformation#EnergyGap,http://matonto.org/ontologies/matonto#BandGap
http://codata.jp/OML-MaterialInformation#EnergyGapForDirectTransition,http://matonto.org/ontologies/matonto#BandGap
http://codata.jp/OML-MaterialInformation#EnergyGapForIndirectTransition,http://matonto.org/ontologies/matonto#BandGapUnit
http://codata.jp/OML-MaterialInformation#Entropy,http://ontology.dumontierlab.com/Entropy
