Entity1,Entity2
http://codata.jp/OML-MaterialInformation#AbsorbedDoseRate,http://ontology.dumontierlab.com/AbsorbedDoseRate
http://codata.jp/OML-MaterialInformation#Ac,http://ontology.dumontierlab.com/Actinium
http://codata.jp/OML-MaterialInformation#Ac,http://ontology.dumontierlab.com/ActiniumAtom
http://codata.jp/OML-MaterialInformation#Acceleration,http://ontology.dumontierlab.com/Acceleration
http://codata.jp/OML-MaterialInformation#Ag,http://ontology.dumontierlab.com/Silver
http://codata.jp/OML-MaterialInformation#Ag,http://ontology.dumontierlab.com/SilverAtom
http://codata.jp/OML-MaterialInformation#Al,http://ontology.dumontierlab.com/Aluminium
http://codata.jp/OML-MaterialInformation#Al,http://ontology.dumontierlab.com/AluminiumAtom
http://codata.jp/OML-MaterialInformation#Alloy,http://matonto.org/ontologies/matonto#Alloy
http://codata.jp/OML-MaterialInformation#Am,http://ontology.dumontierlab.com/Americium
http://codata.jp/OML-MaterialInformation#Am,http://ontology.dumontierlab.com/AmericiumAtom
http://codata.jp/OML-MaterialInformation#AmountOfSubstance,http://ontology.dumontierlab.com/AmountOfSubstance
http://codata.jp/OML-MaterialInformation#AngularAcceleration,http://ontology.dumontierlab.com/AngularAcceleration
http://codata.jp/OML-MaterialInformation#Ar,http://ontology.dumontierlab.com/Argon
http://codata.jp/OML-MaterialInformation#Ar,http://ontology.dumontierlab.com/ArgonAtom
http://codata.jp/OML-MaterialInformation#Area,http://ontology.dumontierlab.com/Area
http://codata.jp/OML-MaterialInformation#As,http://ontology.dumontierlab.com/Arsenic
http://codata.jp/OML-MaterialInformation#As,http://ontology.dumontierlab.com/ArsenicAtom
http://codata.jp/OML-MaterialInformation#At,http://ontology.dumontierlab.com/Astatine
http://codata.jp/OML-MaterialInformation#At,http://ontology.dumontierlab.com/AstatineAtom
http://codata.jp/OML-MaterialInformation#Atom,http://ontology.dumontierlab.com/Atom
http://codata.jp/OML-MaterialInformation#Au,http://ontology.dumontierlab.com/Gold
http://codata.jp/OML-MaterialInformation#Au,http://ontology.dumontierlab.com/GoldAtom
