entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://codata.jp/OML-MaterialInformation-reduced#Atmosphere,Source,Class,atmosphere,"In the context of materials science, ""atmosphere"" refers to the surrounding environment or conditions, particularly the gaseous environment, in which a material is processed, tested, or used. This can include the type and concentration of gases present, such as oxygen, nitrogen, hydrogen, or inert gases, as well as other factors like temperature and pressure. The atmosphere can significantly influence the properties and behavior of materials, such as oxidation, corrosion, and phase transformations. For example, heat treatments of metals often require specific atmospheric conditions to achieve desired material properties.","Sure, here are the triples verbalised into phrases:

1. ""Gas"" is a subclass of ""Atmosphere"".
2. ""Liquid"" is a subclass of ""Atmosphere"".
3. ""Vacuum"" is a subclass of ""Atmosphere"".
4. ""Atmosphere"" is a subclass of ""Environment""."
http://codata.jp/OML-MaterialInformation-reduced#CarburizingAndNitrizing,Source,Class,carburizing and nitrizing,"In materials science, carburizing and nitriding are two surface hardening processes used to enhance the properties of metals, particularly steel.

1. **Carburizing**: This is a heat treatment process in which carbon is introduced into the surface layer of a steel part. The process involves heating the steel in a carbon-rich environment (such as in the presence of a carbon-containing gas or solid) at high temperatures, typically between 900°C and 950°C. The carbon diffuses into the surface, creating a high-carbon outer layer while the core remains low-carbon. This results in a hard, wear-resistant surface with a tough, ductile core, improving the overall durability and fatigue resistance of the part.

2. **Nitriding**: This is another surface hardening process where nitrogen is introduced into the surface of a steel part. Unlike carburizing, nitriding is usually performed at lower temperatures, typically between 500°C and 550°C. The process involves exposing the steel to a nitrogen-rich environment, such as ammonia gas. The nitrogen diffuses into the surface, forming hard nitrides with alloying elements in the steel. This creates a very hard, wear-resistant surface layer without the need for quenching, which can reduce the risk of distortion and cracking.

Both processes are used to improve the wear resistance, fatigue strength, and surface hardness of steel components, making them suitable for demanding applications such as gears, crankshafts, and other high-stress mechanical parts.","Sure, here are the triples verbalized into phrases:

1. The domain of ""HeatTreatmentProcess"" is ""CarburizingAndNitrizing"".
2. The domain of ""Normination"" is ""CarburizingAndNitrizing"".
3. ""CarburizingAndNitrizing"" is a subclass of ""ManufacturingProcess""."
http://codata.jp/OML-MaterialInformation-reduced#ConcentrationOfSolvent,Source,Class,concentration of solvent,"In the context of materials science, the term ""ConcentrationOfSolvent"" typically refers to the proportion or amount of solvent present in a solution relative to other components, such as solutes. It is a measure of how much solvent is mixed with other substances in a given volume or mass of the solution. This concentration can be expressed in various units, such as molarity (moles of solvent per liter of solution), mass percent (mass of solvent per total mass of solution), or volume percent (volume of solvent per total volume of solution). Understanding the concentration of the solvent is crucial for controlling the properties and behavior of materials in processes like chemical reactions, material synthesis, and formulation of composites.","The class ""ConcentrationOfSolvent"" is a subclass of the class ""Environment""."
http://codata.jp/OML-MaterialInformation-reduced#Conductivity,Source,Class,conductivity,"In materials science, conductivity refers to the ability of a material to conduct electric current or heat. Electrical conductivity is a measure of how well a material can allow the flow of electric charge, typically measured in siemens per meter (S/m). Thermal conductivity, on the other hand, measures how well a material can conduct heat, usually expressed in watts per meter-kelvin (W/m·K). High conductivity materials, such as metals like copper and aluminum, are often used in applications requiring efficient transmission of electricity or heat.","""Conductivity"" is a subclass of ""Environment""."
http://codata.jp/OML-MaterialInformation-reduced#Contents,Source,Class,contents,"In the context of materials science, ""contents"" typically refers to the various components, elements, or substances that make up a material or a composite. This can include the chemical composition, the types of materials used, and their respective proportions within a given sample. Understanding the contents of a material is crucial for determining its properties, behavior, and potential applications.","The class ""Contents"" is a subclass of the class ""Environment""."
http://codata.jp/OML-MaterialInformation-reduced#CorrosionPotential,Source,Class,corrosion potential,"In materials science, ""Corrosion Potential,"" also known as ""Electrode Potential"" or ""Rest Potential,"" refers to the potential difference between a metal and a reference electrode when the metal is immersed in an electrolyte and no external current is applied. It is a measure of the tendency of the metal to corrode in a specific environment. The corrosion potential is an important parameter in understanding the electrochemical behavior of metals and predicting their corrosion rates. It helps in identifying the likelihood of a metal undergoing oxidation (corrosion) or reduction reactions in a given environment.","""CorrosionPotential"" is a subclass of ""Environment""."
http://codata.jp/OML-MaterialInformation-reduced#Current,Source,Class,current,"In the context of materials science, ""current"" refers to the flow of electric charge through a material. This flow is typically carried by electrons in a conductor, such as a metal, or by ions in an electrolyte. The movement of these charges constitutes an electric current, which is measured in amperes (A). Understanding current is crucial in materials science for designing and analyzing the electrical properties of materials, such as conductivity, resistivity, and the behavior of materials under different electrical conditions.","The class ""Current"" is a subclass of the class ""Environment""."
http://codata.jp/OML-MaterialInformation-reduced#CurrentDensity,Source,Class,current density,"In materials science, ""current density"" refers to the amount of electric current flowing per unit area of a material. It is typically measured in amperes per square meter (A/m²). Current density is an important parameter because it helps in understanding how electric current distributes within a material, which can affect the material's performance, heating, and potential for damage under electrical load. High current densities can lead to issues such as overheating, electromigration, and material degradation, making it a critical factor in the design and analysis of electronic components and conductive materials.","""CurrentDensity"" is a subclass of ""Environment""."
http://codata.jp/OML-MaterialInformation-reduced#DissolvedOxygen,Source,Class,dissolved oxygen,"In the context of materials science, ""Dissolved Oxygen"" refers to the amount of oxygen that is present in a liquid, typically water, in its dissolved form. This is an important parameter because the presence of dissolved oxygen can significantly affect the properties and behavior of materials, especially metals. For instance, dissolved oxygen can lead to oxidation and corrosion of metals, which can compromise their structural integrity and performance. Monitoring and controlling the levels of dissolved oxygen is crucial in various industrial processes to ensure the longevity and reliability of materials.","""DissolvedOxygen"" is a subclass of ""Environment""."
http://codata.jp/OML-MaterialInformation-reduced#ElectricPotential,Source,Class,electric potential,"In the context of materials science, electric potential refers to the amount of electric potential energy per unit charge at a specific point in a material. It is a measure of the work needed to move a charge from a reference point (often infinity) to a specific point within the material. Electric potential is typically measured in volts (V) and is a crucial concept in understanding the behavior of electrons and ions in materials, influencing properties such as electrical conductivity, electrochemical reactions, and the formation of electric fields within the material.","""ElectricPotential is a subclass of Environment."""
