Entity1,Entity2
http://codata.jp/OML-MaterialInformation-reduced#CurrentDensity,http://ontology.dumontierlab.com/ElectricCurrentDensity
http://codata.jp/OML-MaterialInformation-reduced#None1,http://www.ifomis.org/bfo/1.0/snap#None1
http://codata.jp/OML-MaterialInformation-reduced#None10,http://ontology.dumontierlab.com/None10
http://codata.jp/OML-MaterialInformation-reduced#None11,http://www.ifomis.org/bfo/1.0/snap#None11
http://codata.jp/OML-MaterialInformation-reduced#None12,http://www.ifomis.org/bfo/1.0/span#None12
http://codata.jp/OML-MaterialInformation-reduced#None13,http://www.ifomis.org/bfo/1.0/span#None13
http://codata.jp/OML-MaterialInformation-reduced#None14,http://ontology.dumontierlab.com/None14
http://codata.jp/OML-MaterialInformation-reduced#None15,http://ontology.dumontierlab.com/None15
http://codata.jp/OML-MaterialInformation-reduced#None16,http://ontology.dumontierlab.com/None16
http://codata.jp/OML-MaterialInformation-reduced#None17,http://ontology.dumontierlab.com/None17
http://codata.jp/OML-MaterialInformation-reduced#None18,http://ontology.dumontierlab.com/None18
http://codata.jp/OML-MaterialInformation-reduced#None19,http://ontology.dumontierlab.com/None19
http://codata.jp/OML-MaterialInformation-reduced#None2,http://ontology.dumontierlab.com/None2
http://codata.jp/OML-MaterialInformation-reduced#None20,http://ontology.dumontierlab.com/None20
http://codata.jp/OML-MaterialInformation-reduced#None3,http://ontology.dumontierlab.com/None3
http://codata.jp/OML-MaterialInformation-reduced#None4,http://ontology.dumontierlab.com/None4
http://codata.jp/OML-MaterialInformation-reduced#None5,http://ontology.dumontierlab.com/None5
http://codata.jp/OML-MaterialInformation-reduced#None6,http://ontology.dumontierlab.com/None6
http://codata.jp/OML-MaterialInformation-reduced#None7,http://ontology.dumontierlab.com/None7
http://codata.jp/OML-MaterialInformation-reduced#None8,http://ontology.dumontierlab.com/None8
http://codata.jp/OML-MaterialInformation-reduced#None9,http://ontology.dumontierlab.com/None9
http://codata.jp/OML-MaterialInformation-reduced#Solvent,http://ontology.dumontierlab.com/Solvent
http://codata.jp/OML-MaterialInformation-reduced#pH,http://ontology.dumontierlab.com/pH
