entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_cn#c-0108865-3676500,Source,Class,程序委员会主席,"In the context of a conference, ""程序委员会主席"" translates to ""Chair of the Program Committee."" This person is responsible for overseeing the planning and organization of the conference's program, including the selection of topics, speakers, and the overall schedule. The Chair of the Program Committee plays a crucial role in ensuring the conference runs smoothly and meets its objectives.","Sure, here are the triples verbalized into phrases:

1. The action ""结束审稿"" (end review) is associated with the domain ""程序委员会主席"" (Program Committee Chair).
2. The class ""程序委员会主席"" (Program Committee Chair) is a subclass of ""程序委员会成员"" (Program Committee Member)."
http://cmt_cn#c-0381608-3658679,Source,Class,非审稿人的作者,"In the context of a conference, ""非审稿人的作者"" translates to ""non-reviewing author."" This term refers to an author of a paper or presentation who is not involved in the peer review process for other submissions to the conference. Essentially, it distinguishes between authors who contribute content to the conference and those who also take on the additional responsibility of reviewing submissions from other authors.","Sure, here are the triples verbalized into phrases:

1. ""非审稿人的作者"" is a subclass of ""作者"".
2. ""非审稿人的作者"" is disjoint with ""审稿人"".
3. ""非审稿人的作者"" is disjoint with ""程序委员会成员""."
http://cmt_cn#c-0908936-3785080,Source,Class,管理人员,"In the context of a conference, ""管理人员"" (guǎnlǐ rényuán) refers to ""management personnel"" or ""administrative staff."" These are the individuals responsible for organizing, coordinating, and overseeing various aspects of the conference to ensure it runs smoothly. This can include tasks such as scheduling, logistics, participant coordination, and other administrative duties.","Sure, here are the triples verbalised into phrases:

1. ""启用虚拟会议"" has a domain of ""管理人员"".
2. ""增补程序委员会成员"" has a domain of ""管理人员"".
3. ""审稿人投标始于"" has a range of ""管理人员"".
4. ""开始审稿投标"" has a domain of ""管理人员"".
5. ""录入会议详情"" has a domain of ""管理人员"".
6. ""录入审稿标准"" has a domain of ""管理人员"".
7. ""录用论文"" has a domain of ""管理人员"".
8. ""打印硬拷贝邮件舱单"" has a domain of ""管理人员"".
9. ""拒收论文"" has a domain of ""管理人员"".
10. ""指定审稿人"" has a domain of ""管理人员"".
11. ""由之启动虚拟会议"" has a range of ""管理人员"".
12. ""由之增补"" has a range of ""管理人员"".
13. ""由之录入审稿标准"" has a range of ""管理人员"".
14. ""由之录入详情"" has a range of ""管理人员"".
15. ""由之录用"" has a range of ""管理人员"".
16. ""由之打印硬拷贝邮件舱单"" has a range of ""管理人员"".
17. ""由之拒收"" has a range of ""管理人员"".
18. ""由管理人员指定"" has a range of ""管理人员"".
19. ""论文分派定稿"" has a domain of ""管理人员"".
20. ""论文分派工具由之运行"" has a range of ""管理人员"".
21. ""论文分派由之定稿"" has a range of ""管理人员"".
22. ""设置最多论文数"" has a domain of ""管理人员"".
23. ""运行论文分派工具"" has a domain of ""管理人员"".
24. ""管理人员"" is a subclass of ""用户""."
http://cmt_cn#c-1411693-7966496,Source,Class,论文,"In the context of a conference, the term ""论文"" (lùnwén) means ""paper"" or ""research paper."" It refers to a scholarly article that is typically presented at academic conferences and often published in conference proceedings.","Sure, here are the triples verbalised into phrases:

1. ""分派给"" has a domain of ""论文"".
2. ""合著"" has a range of ""论文"".
3. ""录用论文"" has a range of ""论文"".
4. ""投稿"" has a range of ""论文"".
5. ""拒收论文"" has a range of ""论文"".
6. ""撰写论文"" has a range of ""论文"".
7. ""有主题领域"" has a domain of ""论文"".
8. ""有作者"" has a domain of ""论文"".
9. ""有决定"" has a domain of ""论文"".
10. ""有分派论文"" has a range of ""论文"".
11. ""有合著者"" has a domain of ""论文"".
12. ""有投标"" has a domain of ""论文"".
13. ""标注兴趣冲突"" has a range of ""论文"".
14. ""标题"" has a domain of ""论文"".
15. ""由之录用"" has a domain of ""论文"".
16. ""由之拒收"" has a domain of ""论文"".
17. ""由审稿人审阅"" has a domain of ""论文"".
18. ""由综合审稿人审阅"" has a domain of ""论文"".
19. ""论文全文"" is a subclass of ""论文"".
20. ""论文序号"" has a domain of ""论文"".
21. ""论文摘要"" is a subclass of ""论文"".
22. ""阅读论文"" has a range of ""论文"".
23. ""论文"" is a subclass of ""文件"".
24. ""论文"" is disjoint with ""审稿意见""."
http://cmt_cn#c-1609047-4017692,Source,Class,合著者,"In the context of a conference, ""合著者"" (pronounced ""gōchokusha"" in Japanese) means ""co-author."" It refers to an individual who has collaborated with others to write a paper, article, or presentation that is being presented or discussed at the conference.","Sure, here are the triples verbalised into phrases:

1. The property ""合著"" has a domain of ""合著者"".
2. The property ""有合著者"" has a range of ""合著者"".
3. The class ""合著者"" is a subclass of ""作者""."
http://cmt_cn#c-3149294-9818820,Source,Class,副主席,"In the context of a conference, ""副主席"" (fù zhǔ xí) means ""vice-chairman"" or ""vice-chairperson."" This title refers to an individual who assists the chairman or chairperson in their duties and may act on their behalf when necessary.","Sure, here are the verbalized phrases for the given triples:

1. ""副主席"" is a subclass of ""会议成员"".
2. ""副主席"" is disjoint with ""大会主席""."
http://cmt_cn#c-3211087-4346168,Source,Class,综合审稿人,"In the context of a conference, ""综合审稿人"" refers to a ""meta-reviewer"" or ""overall reviewer."" This person is responsible for synthesizing the reviews from multiple individual reviewers, providing an overall assessment of the submitted paper, and making a recommendation regarding its acceptance or rejection. The meta-reviewer plays a crucial role in ensuring that the final decision is well-informed and balanced, taking into account the various perspectives and comments from the different reviewers.","Sure, here are the triples verbalized into phrases:

1. The phrase ""由综合审稿人审阅"" has a range of ""综合审稿人"".
2. The class ""综合审稿人"" is a subclass of ""审稿人""."
http://cmt_cn#c-4245259-3253907,Source,Class,偏爱,"In the context of a conference, the term ""偏爱"" (piān'ài) means ""preference"" or ""favoritism."" It refers to the act of showing a greater liking or inclination towards a particular topic, speaker, or aspect of the conference over others. For example, if an attendee has a 偏爱 for sessions on artificial intelligence, it means they prefer or favor those sessions compared to others.","The term ""偏爱"" is disjoint with ""人员"", ""会议"", ""决定"", ""投标"", ""文件"", and ""程序委员会""."
http://cmt_cn#c-4366560-5113302,Source,Class,审稿意见,"In the context of a conference, ""审稿意见"" (shěngǎo yìjiàn) refers to ""review comments"" or ""review feedback."" These are the comments, suggestions, and evaluations provided by reviewers after they have assessed a submitted paper or abstract. The feedback typically includes assessments of the paper's quality, relevance, originality, and clarity, and may suggest revisions or improvements before the paper can be accepted for presentation at the conference.","Sure, here are the triples verbalised into phrases:

1. The range of ""撰写审稿意见"" is ""审稿意见"".
2. The domain of ""由之撰写"" is ""审稿意见"".
3. The range of ""结束审稿"" is ""审稿意见"".
4. ""综合审稿意见"" is a subclass of ""审稿意见"".
5. ""论文"" is disjoint with ""审稿意见"".
6. ""审稿意见"" is a subclass of ""文件""."
http://cmt_cn#c-4394296-4732223,Source,Class,用户,"In the context of a conference, ""用户"" (pronounced yònghù) means ""user."" It typically refers to individuals who use a particular service, product, or system that might be the subject of discussion at the conference. For example, in a tech conference, ""用户"" could refer to the end-users of a software application or platform being presented or discussed.","Sure, here are the triples verbalized into phrases:

1. ""作者"" is a subclass of ""用户"".
2. ""审稿人"" is a subclass of ""用户"".
3. ""管理人员"" is a subclass of ""用户"".
4. ""用户"" is a subclass of ""人员""."
