LLM,Alignment,Precision,Recall,F1
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-1.0-source_no_validation,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-1.0-source,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-1.0-target_no_validation,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-1.0-target,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-1.0-no_validation,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-1.0-llm_with_agent,50.00,12.50,20.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.95-source_no_validation,77.78,43.75,56.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.95-source,71.43,31.25,43.48
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.95-target_no_validation,80.00,50.00,61.54
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.95-target,71.43,31.25,43.48
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.95-no_validation,77.78,43.75,56.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.95-llm_with_agent,71.43,31.25,43.48
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.9-source_no_validation,25.64,62.50,36.36
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.9-source,50.00,37.50,42.86
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.9-target_no_validation,30.77,75.00,43.64
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.9-target,60.00,37.50,46.15
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.9-no_validation,50.00,62.50,55.56
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.9-llm_with_agent,75.00,37.50,50.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.85-source_no_validation,12.38,81.25,21.49
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.85-source,52.94,56.25,54.55
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.85-target_no_validation,13.04,75.00,22.22
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.85-target,50.00,31.25,38.46
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.85-no_validation,40.00,62.50,48.78
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.85-llm_with_agent,55.56,31.25,40.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.75-source_no_validation,12.04,81.25,20.97
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.75-source,52.94,56.25,54.55
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.75-target_no_validation,14.12,75.00,23.76
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.75-target,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.75-no_validation,50.00,62.50,55.56
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.75-llm_with_agent,55.56,31.25,40.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.7-source_no_validation,12.38,81.25,21.49
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.7-source,56.25,56.25,56.25
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.7-target_no_validation,14.12,75.00,23.76
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.7-target,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.7-no_validation,50.00,62.50,55.56
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.7-llm_with_agent,55.56,31.25,40.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.65-source_no_validation,12.38,81.25,21.49
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.65-source,52.94,56.25,54.55
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.65-target_no_validation,14.12,75.00,23.76
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.65-target,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.65-no_validation,50.00,62.50,55.56
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.65-llm_with_agent,55.56,31.25,40.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.6-source_no_validation,12.38,81.25,21.49
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.6-source,52.94,56.25,54.55
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.6-target_no_validation,14.12,75.00,23.76
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.6-target,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.6-no_validation,50.00,62.50,55.56
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.6-llm_with_agent,55.56,31.25,40.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.55-source_no_validation,12.38,81.25,21.49
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.55-source,52.94,56.25,54.55
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.55-target_no_validation,14.12,75.00,23.76
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.55-target,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.55-no_validation,50.00,62.50,55.56
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.55-llm_with_agent,55.56,31.25,40.00
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.5-source_no_validation,12.38,81.25,21.49
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.5-source,60.00,56.25,58.06
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.5-target_no_validation,14.12,75.00,23.76
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.5-target,45.45,31.25,37.04
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.5-no_validation,50.00,62.50,55.56
gpt-4o-mini-2024-07-18,conference/cmt-confof/component/-0.5-llm_with_agent,62.50,31.25,41.67
