LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/source_no_validation,48.83,93.93,64.26
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/source,84.29,91.69,87.84
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/target_no_validation,46.61,94.72,62.48
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/target,85.62,91.89,88.64
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/no_validation,89.15,91.03,90.08
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_agent,96.13,88.59,92.21
gpt-4o-2024-05-13,anatomy/mouse-human-suite/component/llm_with_agent_filter,88.74,70.16,78.36
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/source_no_validation,14.29,13.04,13.64
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/source,50.00,13.04,20.69
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/target_no_validation,5.56,13.04,7.79
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/target,50.00,13.04,20.69
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/no_validation,15.79,13.04,14.29
gpt-4o-2024-05-13,mse/MaterialInformationReduced-MatOnto/component/llm_with_agent,60.00,13.04,21.43
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/source_no_validation,39.47,59.60,47.49
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/source,83.91,48.34,61.34
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/target_no_validation,42.40,84.11,56.38
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/target,84.72,80.79,82.71
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/no_validation,64.37,55.63,59.68
gpt-4o-2024-05-13,mse/MaterialInformation-MatOnto/component/llm_with_agent,92.11,46.36,61.67
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/source_no_validation,23.13,98.41,37.46
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/source,73.42,92.06,81.69
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/target_no_validation,22.46,98.41,36.58
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/target,63.04,92.06,74.84
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/no_validation,60.78,98.41,75.15
gpt-4o-2024-05-13,mse/MaterialInformation-EMMO/component/llm_with_agent,90.48,90.48,90.48
gpt-4o-2024-05-13,conference/cmt-conference/component/source_no_validation,21.31,86.67,34.21
gpt-4o-2024-05-13,conference/cmt-conference/component/source,50.00,40.00,44.44
gpt-4o-2024-05-13,conference/cmt-conference/component/target_no_validation,13.83,86.67,23.85
gpt-4o-2024-05-13,conference/cmt-conference/component/target,43.75,46.67,45.16
gpt-4o-2024-05-13,conference/cmt-conference/component/no_validation,37.50,80.00,51.06
gpt-4o-2024-05-13,conference/cmt-conference/component/llm_with_agent,75.00,40.00,52.17
gpt-4o-2024-05-13,conference/cmt-confof/component/source_no_validation,17.07,43.75,24.56
gpt-4o-2024-05-13,conference/cmt-confof/component/source,60.00,37.50,46.15
gpt-4o-2024-05-13,conference/cmt-confof/component/target_no_validation,21.74,62.50,32.26
gpt-4o-2024-05-13,conference/cmt-confof/component/target,54.55,37.50,44.44
gpt-4o-2024-05-13,conference/cmt-confof/component/no_validation,41.18,43.75,42.42
gpt-4o-2024-05-13,conference/cmt-confof/component/llm_with_agent,66.67,37.50,48.00
gpt-4o-2024-05-13,conference/cmt-edas/component/source_no_validation,13.89,76.92,23.53
gpt-4o-2024-05-13,conference/cmt-edas/component/source,50.00,61.54,55.17
gpt-4o-2024-05-13,conference/cmt-edas/component/target_no_validation,12.50,76.92,21.51
gpt-4o-2024-05-13,conference/cmt-edas/component/target,36.36,61.54,45.71
gpt-4o-2024-05-13,conference/cmt-edas/component/no_validation,37.04,76.92,50.00
gpt-4o-2024-05-13,conference/cmt-edas/component/llm_with_agent,72.73,61.54,66.67
gpt-4o-2024-05-13,conference/cmt-ekaw/component/source_no_validation,13.33,72.73,22.54
gpt-4o-2024-05-13,conference/cmt-ekaw/component/source,38.89,63.64,48.28
gpt-4o-2024-05-13,conference/cmt-ekaw/component/target_no_validation,11.76,72.73,20.25
gpt-4o-2024-05-13,conference/cmt-ekaw/component/target,28.57,54.55,37.50
gpt-4o-2024-05-13,conference/cmt-ekaw/component/no_validation,25.93,63.64,36.84
gpt-4o-2024-05-13,conference/cmt-ekaw/component/llm_with_agent,50.00,54.55,52.17
gpt-4o-2024-05-13,conference/cmt-iasted/component/source_no_validation,11.11,100.00,20.00
gpt-4o-2024-05-13,conference/cmt-iasted/component/source,40.00,100.00,57.14
gpt-4o-2024-05-13,conference/cmt-iasted/component/target_no_validation,10.81,100.00,19.51
gpt-4o-2024-05-13,conference/cmt-iasted/component/target,33.33,100.00,50.00
gpt-4o-2024-05-13,conference/cmt-iasted/component/no_validation,22.22,100.00,36.36
gpt-4o-2024-05-13,conference/cmt-iasted/component/llm_with_agent,57.14,100.00,72.73
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/source_no_validation,30.00,100.00,46.15
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/source,78.57,91.67,84.62
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/target_no_validation,28.57,100.00,44.44
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/target,64.71,91.67,75.86
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/no_validation,60.00,100.00,75.00
gpt-4o-2024-05-13,conference/cmt-sigkdd/component/llm_with_agent,78.57,91.67,84.62
gpt-4o-2024-05-13,conference/conference-confof/component/source_no_validation,16.67,93.33,28.28
gpt-4o-2024-05-13,conference/conference-confof/component/source,55.56,66.67,60.61
gpt-4o-2024-05-13,conference/conference-confof/component/target_no_validation,24.00,80.00,36.92
gpt-4o-2024-05-13,conference/conference-confof/component/target,69.23,60.00,64.29
gpt-4o-2024-05-13,conference/conference-confof/component/no_validation,37.50,80.00,51.06
gpt-4o-2024-05-13,conference/conference-confof/component/llm_with_agent,81.82,60.00,69.23
gpt-4o-2024-05-13,conference/conference-edas/component/source_no_validation,15.15,88.24,25.86
gpt-4o-2024-05-13,conference/conference-edas/component/source,40.91,52.94,46.15
gpt-4o-2024-05-13,conference/conference-edas/component/target_no_validation,15.73,82.35,26.42
gpt-4o-2024-05-13,conference/conference-edas/component/target,42.11,47.06,44.44
gpt-4o-2024-05-13,conference/conference-edas/component/no_validation,35.14,76.47,48.15
gpt-4o-2024-05-13,conference/conference-edas/component/llm_with_agent,66.67,47.06,55.17
gpt-4o-2024-05-13,conference/conference-ekaw/component/source_no_validation,22.11,84.00,35.00
gpt-4o-2024-05-13,conference/conference-ekaw/component/source,42.31,44.00,43.14
gpt-4o-2024-05-13,conference/conference-ekaw/component/target_no_validation,21.35,76.00,33.33
gpt-4o-2024-05-13,conference/conference-ekaw/component/target,41.38,48.00,44.44
gpt-4o-2024-05-13,conference/conference-ekaw/component/no_validation,41.30,76.00,53.52
gpt-4o-2024-05-13,conference/conference-ekaw/component/llm_with_agent,55.56,40.00,46.51
gpt-4o-2024-05-13,conference/conference-iasted/component/source_no_validation,13.16,71.43,22.22
gpt-4o-2024-05-13,conference/conference-iasted/component/source,42.86,64.29,51.43
gpt-4o-2024-05-13,conference/conference-iasted/component/target_no_validation,10.96,57.14,18.39
gpt-4o-2024-05-13,conference/conference-iasted/component/target,36.84,50.00,42.42
gpt-4o-2024-05-13,conference/conference-iasted/component/no_validation,27.59,57.14,37.21
gpt-4o-2024-05-13,conference/conference-iasted/component/llm_with_agent,50.00,50.00,50.00
gpt-4o-2024-05-13,conference/conference-sigkdd/component/source_no_validation,18.99,100.00,31.91
gpt-4o-2024-05-13,conference/conference-sigkdd/component/source,50.00,66.67,57.14
gpt-4o-2024-05-13,conference/conference-sigkdd/component/target_no_validation,32.56,93.33,48.28
gpt-4o-2024-05-13,conference/conference-sigkdd/component/target,56.25,60.00,58.06
gpt-4o-2024-05-13,conference/conference-sigkdd/component/no_validation,51.85,93.33,66.67
gpt-4o-2024-05-13,conference/conference-sigkdd/component/llm_with_agent,64.29,60.00,62.07
gpt-4o-2024-05-13,conference/confof-edas/component/source_no_validation,26.79,78.95,40.00
gpt-4o-2024-05-13,conference/confof-edas/component/source,52.00,68.42,59.09
gpt-4o-2024-05-13,conference/confof-edas/component/target_no_validation,17.58,84.21,29.09
gpt-4o-2024-05-13,conference/confof-edas/component/target,45.16,73.68,56.00
gpt-4o-2024-05-13,conference/confof-edas/component/no_validation,41.67,78.95,54.55
gpt-4o-2024-05-13,conference/confof-edas/component/llm_with_agent,54.55,63.16,58.54
gpt-4o-2024-05-13,conference/confof-ekaw/component/source_no_validation,38.30,90.00,53.73
gpt-4o-2024-05-13,conference/confof-ekaw/component/source,80.00,60.00,68.57
gpt-4o-2024-05-13,conference/confof-ekaw/component/target_no_validation,22.86,80.00,35.56
gpt-4o-2024-05-13,conference/confof-ekaw/component/target,61.90,65.00,63.41
gpt-4o-2024-05-13,conference/confof-ekaw/component/no_validation,57.14,80.00,66.67
gpt-4o-2024-05-13,conference/confof-ekaw/component/llm_with_agent,84.62,55.00,66.67
